t,v,k,N,Source
2,7,728,153.0,Direct product generalized
2,7,800,155.0,Direct product
2,7,812,158.0,PCAx2PCA
2,7,822,159.0,Direct product generalized
2,7,859,160.0,PCAx2PCA
2,7,863,161.0,PCAx2PCA
2,7,900,162.0,Direct product
2,7,903,163.0,PCAx2PCA
2,7,920,164.0,Direct product
2,7,957,165.0,Direct product generalized
2,7,1030,166.0,Direct product generalized
2,7,1040,167.0,Direct product
2,7,1071,169.0,PCAx2PCA
2,7,1136,170.0,Direct product
2,7,1386,171.0,Direct product
2,7,1736,172.0,PCAx2PCA
2,7,3927,175.0,PCAx2PCA
2,7,3976,180.0,PCAx2PCA
2,7,4154,182.0,PCAx2PCA
2,7,4424,185.0,PCAxPCA
2,7,4480,186.0,PCAx2PCA
2,7,4928,187.0,PCAx2PCA
2,7,4984,188.0,simulated annealing (Torres-Jimenez)
2,7,5056,189.0,PCAx2PCA
2,7,5432,191.0,PCAx2PCA
2,7,5467,193.0,Direct product
2,7,5552,194.0,PCAx2PCA
2,7,5824,195.0,PCAx2PCA
2,7,6328,197.0,PCAx2PCA
2,7,6412,200.0,PCAxPCA
2,7,6491,201.0,Direct product generalized
2,7,6797,202.0,PCAx2PCA
2,7,6824,203.0,PCAxPCA
2,7,7119,204.0,PCAx2PCA
2,7,7161,205.0,PCAxPCA
2,7,7280,206.0,PCAx2PCA
2,7,7520,207.0,PCAx2PCA
2,7,8120,208.0,PCAx2PCA
2,7,8190,209.0,Direct product
2,7,8204,210.0,PCAxPCA
2,7,8505,211.0,PCAxPCA
2,7,9016,212.0,PCAx2PCA
2,7,10934,213.0,Direct product
2,7,13776,214.0,PCAxPCA
2,7,20000,217.0,Direct product
3,7,8,343.0,orthogonal array
3,7,9,472.0,simulated annealing (CKRS)
3,7,10,479.0,simulated annealing (CKRS)
3,7,16,637.0,Chateauneuf-Kreher doubling
3,7,45,679.0,SCPHF LFSR (TJ-IM)
3,7,57,685.0,Raaphorst-Moura-Stevens
3,7,58,979.0,Add a factor
3,7,64,1014.0,SCPHF Conditional Expectation (CLS) fuse
3,7,90,1015.0,SCPHF Sim Annealing (TJ-IM)
3,7,94,1027.0,CPHF Sim Annealing (TJ-IM)
3,7,170,1183.0,Cyclotomy (Torres-Jimenez)
3,7,183,1309.0,Path-Restricted SCPHF RE (CLS)
3,7,227,1351.0,SCPHF Conditional Expectation (CLS)
3,7,237,1369.0,CPHF Sim Annealing (TJ-IM)
3,7,315,1519.0,Colbourn-Martirosyan-TVT-Walker
3,7,316,1524.0,Cohen-Colbourn-Ling
3,7,399,1525.0,Colbourn-Martirosyan-TVT-Walker
3,7,400,1566.0,Cohen-Colbourn-Ling
3,7,440,1645.0,"Restricted CPHF Ext  5( 1, 5) WCS"
3,7,446,1651.0,"Restricted CPHF Ext  5( 1, 4) WCS"
3,7,451,1657.0,"Restricted CPHF Ext  5( 1, 3) WCS"
3,7,456,1663.0,"Restricted CPHF Ext  5( 1, 2) WCS"
3,7,560,1687.0,"Restricted CPHF Ext  5( 0, 5) WCS"
3,7,567,1693.0,"Restricted CPHF Ext  5( 0, 4) WCS"
3,7,577,1699.0,"Restricted CPHF Ext  5( 0, 3) WCS"
3,7,585,1705.0,"Restricted CPHF Ext  5( 0, 2) WCS"
3,7,600,1711.0,"Restricted CPHF Ext  5( 0, 0) WCS"
3,7,695,1855.0,"Restricted CPHF Ext  6( 4, 6) WCS"
3,7,829,1897.0,"Restricted CPHF Ext  6( 3, 6) WCS"
3,7,837,1903.0,"Restricted CPHF Ext  6( 3, 5) WCS"
3,7,851,1909.0,"Restricted CPHF Ext  6( 3, 4) WCS"
3,7,1002,1939.0,"Restricted CPHF Ext  6( 2, 6) WCS"
3,7,1015,1945.0,"Restricted CPHF Ext  6( 2, 5) WCS"
3,7,1026,1951.0,"Restricted CPHF Ext  6( 2, 4) WCS"
3,7,1037,1957.0,"Restricted CPHF Ext  6( 2, 3) WCS"
3,7,1151,1981.0,"Restricted CPHF Ext  6( 1, 6) WCS"
3,7,1168,1987.0,"Restricted CPHF Ext  6( 1, 5) WCS"
3,7,1185,1993.0,"Restricted CPHF Ext  6( 1, 4) WCS"
3,7,1204,1999.0,"Restricted CPHF Ext  6( 1, 3) WCS"
3,7,1214,2005.0,"Restricted CPHF Ext  6( 1, 2) WCS"
3,7,1473,2023.0,"Restricted CPHF Ext  6( 0, 6) WCS"
3,7,1504,2029.0,"Restricted CPHF Ext  6( 0, 5) WCS"
3,7,1517,2035.0,"Restricted CPHF Ext  6( 0, 4) WCS"
3,7,1534,2041.0,"Restricted CPHF Ext  6( 0, 3) WCS"
3,7,1556,2047.0,"Restricted CPHF Ext  6( 0, 2) WCS"
3,7,1594,2053.0,"Restricted CPHF Ext  6( 0, 0) WCS"
3,7,1739,2191.0,"Restricted CPHF Ext  7( 4, 7) WCS"
3,7,1786,2197.0,"Restricted CPHF Ext  7( 4, 6) WCS"
3,7,1816,2203.0,"Restricted CPHF Ext  7( 4, 5) WCS"
3,7,2077,2233.0,"Restricted CPHF Ext  7( 3, 7) WCS"
3,7,2117,2239.0,"Restricted CPHF Ext  7( 3, 6) WCS"
3,7,2159,2245.0,"Restricted CPHF Ext  7( 3, 5) WCS"
3,7,2180,2251.0,"Restricted CPHF Ext  7( 3, 4) WCS"
3,7,2448,2275.0,"Restricted CPHF Ext  7( 2, 7) WCS"
3,7,2483,2281.0,"Restricted CPHF Ext  7( 2, 6) WCS"
3,7,2530,2287.0,"Restricted CPHF Ext  7( 2, 5) WCS"
3,7,2565,2293.0,"Restricted CPHF Ext  7( 2, 4) WCS"
3,7,2614,2299.0,"Restricted CPHF Ext  7( 2, 3) WCS"
3,7,2814,2317.0,"Restricted CPHF Ext  7( 1, 7) WCS"
3,7,2874,2323.0,"Restricted CPHF Ext  7( 1, 6) WCS"
3,7,2901,2329.0,"Restricted CPHF Ext  7( 1, 5) WCS"
3,7,2949,2335.0,"Restricted CPHF Ext  7( 1, 4) WCS"
3,7,3003,2341.0,"Restricted CPHF Ext  7( 1, 3) WCS"
3,7,3040,2347.0,"Restricted CPHF Ext  7( 1, 2) WCS"
3,7,3739,2359.0,"Restricted CPHF Ext  7( 0, 7) WCS"
3,7,3753,2365.0,"Restricted CPHF Ext  7( 0, 6) WCS"
3,7,3767,2371.0,"Restricted CPHF Ext  7( 0, 5) WCS"
3,7,3805,2377.0,"Restricted CPHF Ext  7( 0, 4) WCS"
3,7,3853,2383.0,"Restricted CPHF Ext  7( 0, 3) WCS"
3,7,3928,2389.0,"Restricted CPHF Ext  7( 0, 2) WCS"
3,7,4113,2395.0,CPHF IPO 7 (WCS)
3,7,4255,2527.0,"Restricted CPHF Ext  8( 4, 8) WCS"
3,7,4286,2533.0,"Restricted CPHF Ext  8( 4, 7) WCS"
3,7,4381,2539.0,"Restricted CPHF Ext  8( 4, 6) WCS"
3,7,4539,2545.0,"Restricted CPHF Ext  8( 4, 5) WCS"
3,7,5005,2569.0,"Restricted CPHF Ext  8( 3, 8) WCS"
3,7,5068,2575.0,"Restricted CPHF Ext  8( 3, 7) WCS"
3,7,5126,2581.0,"Restricted CPHF Ext  8( 3, 6) WCS"
3,7,5239,2587.0,"Restricted CPHF Ext  8( 3, 5) WCS"
3,7,5358,2593.0,"Restricted CPHF Ext  8( 3, 4) WCS"
3,7,5893,2611.0,"Restricted CPHF Ext  8( 2, 8) WCS"
3,7,6012,2617.0,"Restricted CPHF Ext  8( 2, 7) WCS"
3,7,6065,2623.0,"Restricted CPHF Ext  8( 2, 6) WCS"
3,7,6251,2629.0,"Restricted CPHF Ext  8( 2, 5) WCS"
3,7,6351,2635.0,"Restricted CPHF Ext  8( 2, 4) WCS"
3,7,6505,2641.0,"Restricted CPHF Ext  8( 2, 3) WCS"
3,7,6802,2653.0,"Restricted CPHF Ext  8( 1, 8) WCS"
3,7,6856,2659.0,"Restricted CPHF Ext  8( 1, 7) WCS"
3,7,6972,2665.0,"Restricted CPHF Ext  8( 1, 6) WCS"
3,7,7169,2671.0,"Restricted CPHF Ext  8( 1, 5) WCS"
3,7,7351,2677.0,"Restricted CPHF Ext  8( 1, 4) WCS"
3,7,7357,2683.0,"Restricted CPHF Ext  8( 1, 3) WCS"
3,7,7480,2689.0,"Restricted CPHF Ext  8( 1, 2) WCS"
3,7,8924,2695.0,"Restricted CPHF Ext  8( 0, 8) WCS"
3,7,8952,2701.0,"Restricted CPHF Ext  8( 0, 7) WCS"
3,7,8989,2707.0,"Restricted CPHF Ext  8( 0, 6) WCS"
3,7,9060,2713.0,"Restricted CPHF Ext  8( 0, 5) WCS"
3,7,9152,2719.0,"Restricted CPHF Ext  8( 0, 4) WCS"
3,7,9211,2725.0,"Restricted CPHF Ext  8( 0, 3) WCS"
3,7,9382,2731.0,"Restricted CPHF Ext  8( 0, 2) WCS"
3,7,10000,2737.0,CPHF IPO 8 (WCS)
4,7,8,2401.0,orthogonal array
4,7,9,3569.0,orthogonal array fuse postop NCK
4,7,14,4459.0,3-Restricted SCPHF RE (CL)
4,7,17,4753.0,2-Restricted SCPHF RE (CL)
4,7,18,4795.0,SCPHF Tabu Search (Walker-Colbourn)
4,7,30,6853.0,3-Restricted SCPHF RE (CL)
4,7,33,7147.0,2-Restricted SCPHF RE (CL)
4,7,34,7189.0,SCPHF Random Extension (CLS)
4,7,45,8911.0,"3,3-Restricted SCPHF RE (CL)"
4,7,49,9205.0,"3,2-Restricted SCPHF RE (CL)"
4,7,52,9247.0,3-Restricted SCPHF RE (CL)
4,7,55,9499.0,"2,2-Restricted SCPHF RE (CL)"
4,7,56,9541.0,2-Restricted SCPHF RE (CL)
4,7,57,9583.0,SCPHF Random Extension (CLS)
4,7,64,9601.0,CPHF IPO 4 (WCS)
4,7,79,11305.0,"3,3-Restricted SCPHF RE (CL)"
4,7,84,11599.0,"3,2-Restricted SCPHF RE (CL)"
4,7,89,11641.0,3-Restricted SCPHF RE (CL)
4,7,99,11893.0,"2,2-Restricted SCPHF RE (CL)"
4,7,117,12001.0,CPHF IPO 5 (WCS)
4,7,119,13363.0,"3,3,3-Restricted SCPHF RE (CL)"
4,7,134,13699.0,"3,3-Restricted SCPHF RE (CL)"
4,7,144,13993.0,"3,2-Restricted SCPHF RE (CL)"
4,7,154,14035.0,3-Restricted SCPHF RE (CL)
4,7,163,14287.0,"2,2-Restricted SCPHF RE (CL)"
4,7,166,14329.0,2-Restricted SCPHF RE (CL)
4,7,174,14371.0,SCPHF Conditional Expectation (CLS)
4,7,225,14401.0,CPHF IPO 6 (WCS)
4,7,229,16387.0,"3,2-Restricted SCPHF RE (CL)"
4,7,243,16429.0,3-Restricted SCPHF RE (CL)
4,7,271,16681.0,"2,2-Restricted SCPHF RE (CL)"
4,7,276,16723.0,2-Restricted SCPHF RE (CL)
4,7,307,16765.0,SCPHF Conditional Expectation (CLS)
4,7,389,16801.0,CPHF IPO 7 (WCS)
4,7,392,18781.0,"3,2-Restricted SCPHF RE (CL)"
4,7,402,18823.0,3-Restricted SCPHF RE (CL)
4,7,459,19075.0,"2,2-Restricted SCPHF RE (CL)"
4,7,469,19117.0,2-Restricted SCPHF RE (CL)
4,7,479,19159.0,SCPHF Random Extension (CLS)
4,7,653,19201.0,CPHF IPO 8 (WCS)
4,7,662,21175.0,"3,2-Restricted SCPHF RE (CL)"
4,7,668,21217.0,3-Restricted SCPHF RE (CL)
4,7,751,21469.0,"2,2-Restricted SCPHF RE (CL)"
4,7,801,21511.0,2-Restricted SCPHF RE (CL)
4,7,818,21553.0,SCPHF Random Extension (CLS)
4,7,1136,21601.0,CPHF IPO 9 (WCS)
4,7,1182,23863.0,"2,2-Restricted SCPHF RE (CL)"
4,7,1349,23905.0,2-Restricted SCPHF RE (CL)
4,7,1359,23947.0,SCPHF Random Extension (CLS)
4,7,2065,24001.0,CPHF IPO 10 (WCS)
4,7,3493,26401.0,CPHF IPO 11 (WCS)
4,7,3494,33751.0,Add a factor
4,7,3495,35809.0,Add a factor
4,7,3542,41887.0,Colbourn-Martirosyan-TVT-Walker
4,7,3610,41923.0,Colbourn-Martirosyan-TVT-Walker
4,7,4114,42103.0,Colbourn-Martirosyan-TVT-Walker
4,7,4130,42139.0,Colbourn-Martirosyan-TVT-Walker
4,7,4193,43285.0,Colbourn-Martirosyan-TVT-Walker
4,7,4571,44149.0,Colbourn-Martirosyan-TVT-Walker
4,7,6344,44401.0,Cyclotomy (Colbourn)
4,7,6764,47341.0,Cyclotomy (Colbourn)
4,7,7014,47347.0,Colbourn-Martirosyan-TVT-Walker
4,7,7105,47383.0,Colbourn-Martirosyan-TVT-Walker
4,7,7182,47419.0,Colbourn-Martirosyan-TVT-Walker
4,7,7245,47455.0,Colbourn-Martirosyan-TVT-Walker
4,7,7952,47599.0,Colbourn-Martirosyan-TVT-Walker
4,7,8015,49861.0,Colbourn-Martirosyan-TVT-Walker
4,7,8169,49897.0,Colbourn-Martirosyan-TVT-Walker
4,7,8274,49933.0,Colbourn-Martirosyan-TVT-Walker
4,7,8295,49975.0,Colbourn-Martirosyan-TVT-Walker
4,7,8428,50011.0,Colbourn-Martirosyan-TVT-Walker
4,7,8498,50047.0,Colbourn-Martirosyan-TVT-Walker
4,7,9443,50155.0,Colbourn-Martirosyan-TVT-Walker
4,7,9513,50197.0,Colbourn-Martirosyan-TVT-Walker
4,7,10000,50251.0,Colbourn-Martirosyan-TVT-Walker
5,7,8,16807.0,orthogonal array
5,7,9,27639.0,orthogonal array fuse postop NCK
5,7,12,31213.0,4-Restricted SCPHF RE (CL)
5,7,14,33271.0,3-Restricted SCPHF RE (CL)
5,7,19,48013.0,4-Restricted SCPHF RE (CL)
5,7,21,50071.0,3-Restricted SCPHF RE (CL)
5,7,22,50419.0,CPHF Random Extension (CLS)
5,7,27,62419.0,"4,4-Restricted SCPHF RE (CL)"
5,7,28,64477.0,"4,3-restricted SCPHF RE (CL)"
5,7,29,64813.0,4-Restricted SCPHF RE (CL)
5,7,30,66829.0,"3,2-restricted SCPHF RE (CL)"
5,7,31,66871.0,3-Restricted SCPHF RE (CL)
5,7,34,67225.0,CPHF IPO 4 (WCS)
5,7,39,79219.0,"4,4-Restricted SCPHF RE (CL)"
5,7,42,81277.0,"4,3-restricted SCPHF RE (CL)"
5,7,43,81613.0,4-Restricted SCPHF RE (CL)
5,7,45,83335.0,"3,3-Restricted SCPHF RE (CL)"
5,7,47,83629.0,"3,2-restricted SCPHF RE (CL)"
5,7,52,84031.0,CPHF IPO 5 (WCS)
5,7,54,95683.0,SCPHF CLS - other
5,7,59,96019.0,"4,4-Restricted SCPHF RE (CL)"
5,7,61,98413.0,4-Restricted SCPHF RE (CL)
5,7,67,100471.0,3-Restricted SCPHF RE (CL)
5,7,68,100765.0,2-Restricted SCPHF RE (CL)
5,7,69,100807.0,SCPHF Random Extension (CLS)
5,7,78,100837.0,CPHF IPO 6 (WCS)
5,7,82,112819.0,"4,4-Restricted SCPHF RE (CL)"
5,7,93,115213.0,4-Restricted SCPHF RE (CL)
5,7,96,117271.0,3-Restricted SCPHF RE (CL)
5,7,99,117565.0,2-Restricted SCPHF RE (CL)
5,7,101,117607.0,SCPHF Random Extension (CLS)
5,7,118,117643.0,CPHF IPO 7 (WCS)
5,7,121,129619.0,"4,4-Restricted SCPHF RE (CL)"
5,7,132,132013.0,4-Restricted SCPHF RE (CL)
5,7,140,134071.0,3-Restricted SCPHF RE (CL)
5,7,148,134365.0,2-Restricted SCPHF RE (CL)
5,7,149,134407.0,SCPHF Random Extension (CLS)
5,7,188,134449.0,CPHF IPO 8 (WCS)
5,7,195,148813.0,4-Restricted SCPHF RE (CL)
5,7,201,150871.0,3-Restricted SCPHF RE (CL)
5,7,205,151165.0,2-Restricted SCPHF RE (CL)
5,7,209,151207.0,SCPHF Random Extension (CLS)
5,7,277,151255.0,CPHF IPO 9 (WCS)
5,7,284,165613.0,4-Restricted SCPHF RE (CL)
5,7,315,167671.0,3-Restricted SCPHF RE (CL)
5,7,318,168061.0,CPHF Random Extension (CLS)
5,7,341,177625.0,"4,4,4-Restricted SCPHF RE (CL)"
5,7,361,180019.0,"4,4-Restricted SCPHF RE (CL)"
5,7,418,182413.0,4-Restricted SCPHF RE (CL)
5,7,447,184471.0,3-Restricted SCPHF RE (CL)
5,7,451,184765.0,2-Restricted SCPHF RE (CL)
5,7,454,184807.0,SCPHF Random Extension (CLS)
5,7,455,184867.0,CPHF Random Extension (CLS)
5,7,495,194425.0,"4,4,4-Restricted SCPHF RE (CL)"
5,7,546,196819.0,"4,4-Restricted SCPHF RE (CL)"
5,7,592,199213.0,4-Restricted SCPHF RE (CL)
5,7,628,201271.0,3-Restricted SCPHF RE (CL)
5,7,660,201565.0,2-Restricted SCPHF RE (CL)
5,7,661,201607.0,SCPHF Random Extension (CLS)
5,7,679,211225.0,"4,4,4-Restricted SCPHF RE (CL)"
5,7,702,213619.0,"4,4-Restricted SCPHF RE (CL)"
5,7,703,293293.0,Add 1 factors
5,7,704,338275.0,Add 2 factors
5,7,705,352681.0,Add 3 factors
5,7,709,367087.0,Add 7 factors
5,7,749,384950.0,"4,4-Restricted SCPHF RE (CL) fuse"
5,7,812,389038.0,4-Restricted SCPHF RE (CL) fuse
5,7,813,468712.0,Add 1 factors
5,7,814,515164.0,Add 2 factors
5,7,815,529570.0,Add 3 factors
5,7,836,532160.0,Martirosyan-Colbourn
5,7,894,534218.0,Martirosyan-Colbourn
5,7,902,534512.0,Martirosyan-Colbourn
5,7,908,534554.0,Martirosyan-Colbourn
5,7,910,534614.0,Martirosyan-Colbourn
5,7,918,544172.0,Martirosyan-Colbourn
5,7,938,544424.0,Martirosyan-Colbourn
5,7,958,544676.0,Martirosyan-Colbourn
5,7,990,544928.0,Martirosyan-Colbourn
5,7,1092,547322.0,Martirosyan-Colbourn
5,7,1184,549716.0,Martirosyan-Colbourn
5,7,1256,551774.0,Martirosyan-Colbourn
5,7,1306,552068.0,Martirosyan-Colbourn
5,7,1320,563912.0,Martirosyan-Colbourn
5,7,1322,563954.0,Martirosyan-Colbourn
5,7,1324,573572.0,Martirosyan-Colbourn
5,7,1336,573824.0,Martirosyan-Colbourn
5,7,1358,575336.0,Martirosyan-Colbourn
5,7,1404,577730.0,Martirosyan-Colbourn
5,7,1406,657404.0,Martirosyan-Colbourn
5,7,1408,702386.0,Martirosyan-Colbourn
5,7,1410,716792.0,Martirosyan-Colbourn
5,7,1428,719784.0,Power N-CT43^2T9T1
5,7,1462,720120.0,Power N-CT43^2T9
5,7,1521,727368.0,Power N-CT41^2T2T2
5,7,1599,729426.0,Power N-CT41^2T2
5,7,1600,731442.0,Power N-CT43^2Arc(2)T4
5,7,1682,731484.0,Power N-CT41^2+1
5,7,1683,733164.0,Power N-CT43^2Arc(4)
5,7,1723,733500.0,Power N-CT43^2Arc(3)
5,7,1764,733836.0,Power N-CT43^2T1T1
5,7,1806,734172.0,Power N-CT43^2T1
5,7,1849,734508.0,Power N-CT43^2
5,7,1884,741864.0,Power N-CT53^2Arc(9)T11
5,7,1928,742200.0,Power N-CT53^2Arc(9)T10
5,7,2016,743922.0,Power N-CT53^2Arc(9)T8
5,7,2104,744216.0,Power N-CT53^2Arc(9)T6
5,7,2280,744618.0,Power N-CT53^2Arc(9)T2
5,7,2368,756270.0,Power N-CT53^2Arc(9)
5,7,2413,767922.0,Power N-CT53^2Arc(8)
5,7,2459,779574.0,Power N-CT53^2Arc(7)
5,7,2506,791226.0,Power N-CT53^2Arc(6)
5,7,2730,800628.0,"perfect hash family4,3125,625T79"
5,7,2960,803022.0,"perfect hash family4,3125,625T33"
5,7,3125,805080.0,"perfect hash family4,3125,625"
5,7,3186,863826.0,Power N-CT59^2T5
5,7,3481,864162.0,Power N-CT59^2
5,7,3676,878736.0,Power N-CT79^2Arc(9)T27
5,7,3721,885708.0,Power N-CT61^2
5,7,3816,890388.0,Power N-CT79^2Arc(9)T25
5,7,4166,890724.0,Power N-CT79^2Arc(9)T20
5,7,4306,893118.0,Power N-CT79^2Arc(9)T18
5,7,4726,895176.0,Power N-CT79^2Arc(9)T12
5,7,4796,895470.0,Power N-CT79^2Arc(9)T11
5,7,4866,895512.0,Power N-CT79^2Arc(9)T10
5,7,5426,895542.0,Power N-CT79^2Arc(9)T2
5,7,5566,907524.0,Power N-CT79^2Arc(9)
5,7,5637,919506.0,Power N-CT79^2Arc(8)
5,7,5709,931488.0,Power N-CT79^2Arc(7)
5,7,5782,943470.0,Power N-CT79^2Arc(6)
5,7,5856,955452.0,Power N-CT79^2Arc(5)
5,7,5931,967434.0,Power N-CT79^2Arc(4)
5,7,6007,979416.0,Power N-CT79^2Arc(3)
5,7,6084,991398.0,Power N-CT79^2T1T1
5,7,6162,1003380.0,Power N-CT79^2T1
5,7,6168,1012956.0,Power N-CT83^2Arc(4)T5
5,7,6243,1015350.0,Power N-CT83^2Arc(3)T5
5,7,6244,1015362.0,Power N-CT79^2+3
5,7,6319,1017744.0,Power N-CT83^2Arc(2)T5
5,7,6396,1020138.0,Power N-CT83^2T5T1
5,7,6942,1022532.0,Power N-CT89^2T11
5,7,7298,1034514.0,Power N-CT89^2T7
5,7,7925,1036908.0,"perfect hash family9,7925,93"
5,7,8814,1041972.0,"perfect hash family9,12769,113T35"
5,7,9266,1053954.0,"perfect hash family9,12769,113T31"
5,7,9393,1056060.0,Power N-CT101^2T8
5,7,10000,1056348.0,"perfect hash family9,11881,109T16"
6,7,8,117649.0,orthogonal array
6,7,9,190715.0,orthogonal array fuse postop NCK
6,7,11,218491.0,5-Restricted SCPHF RE (CL)
6,7,13,232897.0,4-Restricted SCPHF RE (CL)
6,7,15,336133.0,5-Restricted SCPHF RE (CL)
6,7,17,350539.0,4-Restricted SCPHF RE (CL)
6,7,18,352945.0,CPHF IPO 3 (WCS)
6,7,20,436975.0,"5,5-Restricted SCPHF RE (CL)"
6,7,21,453775.0,5-Restricted SCPHF RE (CL)
6,7,22,468181.0,4-Restricted SCPHF RE (CL)
6,7,23,470575.0,SCPHF Random Extension (CLS)
6,7,25,470593.0,CPHF IPO 4 (WCS)
6,7,27,554617.0,"5,5-Restricted SCPHF RE (CL)"
6,7,29,585823.0,4-Restricted SCPHF RE (CL)
6,7,31,587881.0,3-Restricted SCPHF RE (CL)
6,7,34,588241.0,CPHF IPO 5 (WCS)
6,7,36,672259.0,"5,5-Restricted SCPHF RE (CL)"
6,7,38,689059.0,5-Restricted SCPHF RE (CL)
6,7,39,705523.0,3-Restricted SCPHF RE (CL)
6,7,40,705817.0,2-Restricted SCPHF RE (CL)
6,7,41,705859.0,SCPHF Random Extension (CLS)
6,7,49,705889.0,CPHF IPO 6 (WCS)
6,7,51,821107.0,4-Restricted SCPHF RE (CL)
6,7,52,823165.0,3-Restricted SCPHF RE (CL)
6,7,55,823459.0,2-Restricted SCPHF RE (CL)
6,7,67,823537.0,CPHF IPO 7 (WCS)
6,7,68,924343.0,5-Restricted SCPHF RE (CL)
6,7,70,938749.0,4-Restricted SCPHF RE (CL)
6,7,75,940807.0,3-Restricted SCPHF RE (CL)
6,7,76,941101.0,2-Restricted SCPHF RE (CL)
6,7,93,941185.0,CPHF IPO 8 (WCS)
6,7,95,1056391.0,4-Restricted SCPHF RE (CL)
6,7,101,1058449.0,3-Restricted SCPHF RE (CL)
6,7,103,1058743.0,2-Restricted SCPHF RE (CL)
6,7,106,1126027.0,"5,5,5-Restricted SCPHF RE (CL)"
6,7,116,1142827.0,"5,5-Restricted SCPHF RE (CL)"
6,7,127,1159627.0,5-Restricted SCPHF RE (CL)
6,7,132,1174033.0,4-Restricted SCPHF RE (CL)
6,7,135,1176091.0,3-Restricted SCPHF RE (CL)
6,7,138,1176385.0,2-Restricted SCPHF RE (CL)
6,7,140,1176427.0,SCPHF Random Extension (CLS)
6,7,193,1294069.0,SCPHF Random Extension (CLS)
6,7,195,1294129.0,CPHF Random Extension (CLS)
6,7,244,1411711.0,SCPHF Random Extension (CLS)
6,7,245,2101729.0,Add 1 factors
6,7,246,2548315.0,Add 2 factors
6,7,247,2822029.0,Add 3 factors
6,7,248,2922871.0,Add 4 factors
6,7,251,3023713.0,Add 7 factors
6,7,252,3724315.0,Add 7 factors
6,7,253,4170901.0,Add 7 factors
6,7,254,4444615.0,Add 7 factors
6,7,255,4545457.0,Add 7 factors
6,7,258,4646299.0,Add 7 factors
6,7,305,5176272.0,"perfect hash family4,305,193"
6,7,307,5176512.0,"perfect hash family4,307,195"
6,7,337,5529198.0,"perfect hash family4,388,244T51"
6,7,339,5529258.0,"perfect hash family4,388,244T49"
6,7,388,5646840.0,"perfect hash family4,388,244"
6,7,389,6352482.0,Add 1 factors
6,7,429,6470340.0,"perfect hash family5,429,193"
6,7,431,6470640.0,"perfect hash family5,431,195"
6,7,432,6588222.0,"perfect hash family5,440,196S4"
6,7,434,6705804.0,"perfect hash family5,440,196S3"
6,7,436,6823386.0,"perfect hash family5,440,196S2"
6,7,460,6940908.0,"perfect hash family5,550,238T45"
6,7,464,6940968.0,"perfect hash family5,550,238T43"
6,7,556,7058550.0,"perfect hash family5,556,244"
6,7,575,7529454.0,Power CT25^2T2
6,7,625,7529472.0,Power CT25^2
6,7,626,8335914.0,Add 1 factors
6,7,628,8352618.0,"perfect hash family6,730,244T51"
6,7,632,8352678.0,"perfect hash family6,730,244T49"
6,7,730,8470260.0,"perfect hash family6,730,244"
6,7,775,8700912.0,Power N-CT31^2T6
6,7,783,8756124.0,Power N-CT29^2T2
6,7,837,8784936.0,Power N-CT31^2T4
6,7,841,8787330.0,Power N-CT29^2
6,7,899,8816142.0,Power N-CT31^2T2
6,7,961,8818200.0,Power N-CT31^2
6,7,964,8823600.0,Power N-CT31^2+3
6,7,992,9411480.0,Power CT32^2T1
6,7,1026,9411840.0,Power CT32^2+2
6,7,1075,9629976.0,"Power N-CT41^2Trin3,7,7"
6,7,1102,9646440.0,"Power N-CT41^2Trin2,7,7"
6,7,1129,9646734.0,"Power N-CT41^2Trin1,7,7"
6,7,1156,9646776.0,Power N-CT41^2T7T7
6,7,1175,9647136.0,Power N-CT47^2T22
6,7,1195,9730752.0,"Power N-CT41^2Trin1,5,7"
6,7,1224,9730794.0,Power N-CT41^2T7T5
6,7,1269,9731160.0,Power N-CT47^2T20
6,7,1292,9747594.0,Power N-CT41^2T7T3
6,7,1363,9762366.0,Power N-CT47^2T18
6,7,1394,9764394.0,Power N-CT41^2T7
6,7,1457,9764424.0,Power N-CT47^2T16
6,7,1598,9764784.0,Power N-CT47^2T13
6,7,1692,9848802.0,Power N-CT47^2T11
6,7,1786,9865602.0,Power N-CT47^2T9
6,7,1833,9882066.0,Power N-CT47^2T8
6,7,1880,9882360.0,Power N-CT47^2T7
6,7,1927,9882402.0,Power N-CT47^2T6
6,7,2211,9882432.0,Power N-CT47^2+2
6,7,2212,10991274.0,Add 1 factors
6,7,2221,11175702.0,"Power N-CT53^2Trin4,4,4"
6,7,2311,11290920.0,"Power N-CT53^2Trin2,4,4"
6,7,2356,11292978.0,"Power N-CT53^2Trin1,4,4"
6,7,2401,11293272.0,Power N-CT53^2T4T4
6,7,2412,11378226.0,Power N-CT67^2T31
6,7,2546,11395026.0,Power N-CT67^2T29
6,7,2548,11410548.0,Power N-CT53^2T4T1
6,7,2597,11410842.0,Power N-CT53^2T4
6,7,2613,11411490.0,Power N-CT67^2T28
6,7,2695,11411778.0,Power N-CT59^2T10T4
6,7,2747,11411826.0,Power N-CT67^2T26
6,7,3283,11411856.0,Power N-CT67^2T18
6,7,3417,11527074.0,Power N-CT67^2T16
6,7,3484,11529132.0,Power N-CT67^2T15
6,7,3685,11529426.0,Power N-CT67^2T12
6,7,4489,11529504.0,Power N-CT67^2
6,7,4556,12096744.0,Power N-CT73^2T6T5
