t,v,k,N,Source
6,2,1459,1459.0,Cyclotomy (Torres-Jimenez)
6,2,1483,1483.0,Cyclotomy (Torres-Jimenez)
6,2,1487,1487.0,Cyclotomy (Torres-Jimenez)
6,2,1493,1493.0,Cyclotomy (Torres-Jimenez)
6,2,1499,1499.0,Cyclotomy (Torres-Jimenez)
6,2,1511,1511.0,Cyclotomy (Torres-Jimenez)
6,2,1523,1523.0,Cyclotomy (Torres-Jimenez)
6,2,1549,1549.0,Cyclotomy (Torres-Jimenez)
6,2,1559,1559.0,Cyclotomy (Torres-Jimenez)
6,2,1567,1567.0,Cyclotomy (Torres-Jimenez)
6,2,1571,1571.0,Cyclotomy (Torres-Jimenez)
6,2,1579,1579.0,Cyclotomy (Torres-Jimenez)
6,2,1583,1583.0,Cyclotomy (Torres-Jimenez)
6,2,1597,1597.0,Cyclotomy (Torres-Jimenez)
6,2,1601,1601.0,Cyclotomy (Torres-Jimenez)
6,2,1607,1607.0,Cyclotomy (Torres-Jimenez)
6,2,1609,1609.0,Cyclotomy (Torres-Jimenez)
6,2,1613,1613.0,Cyclotomy (Torres-Jimenez)
6,2,1619,1619.0,Cyclotomy (Torres-Jimenez)
6,2,1621,1621.0,Cyclotomy (Torres-Jimenez)
6,2,1627,1627.0,Cyclotomy (Torres-Jimenez)
6,2,1997,1997.0,Cyclotomy (Torres-Jimenez)
6,2,1999,1999.0,Cyclotomy (Torres-Jimenez)
6,2,2003,2003.0,Cyclotomy (Torres-Jimenez)
6,2,2503,2503.0,Cyclotomy (Torres-Jimenez)
6,2,2504,3047.0,Add 1 factors
6,2,2505,3591.0,Add 1 factors
6,2,2506,4135.0,Add 1 factors
6,2,2507,4679.0,Add 1 factors
6,2,2673,4721.0,Power CZ3-19.15-15.4
6,2,2752,4839.0,Power CT19^3T3cS18
6,2,2784,4864.0,Power CT19^3T3cS17
6,2,2839,4889.0,Power CZ3-19.11-18.0-17.8
6,2,3375,4893.0,Power CZ3-19.16-15.1-15.1-15.1
6,2,3600,4943.0,Power CZ3-19.16-15.1-15.1-16.1
6,2,3840,4993.0,Power CZ3-19.16-15.1-16.1-16.1
6,2,4050,5041.0,Power CZ3-19.16-15.1-15.1-18.1
6,2,4096,5043.0,Power CZ3-19.16-16.1-16.1-16.1
6,2,4275,5065.0,Power CZ3-19.17-15.1-15.1
6,2,4320,5091.0,Power CZ3-19.16-15.1-16.1-18.1
6,2,4352,5100.0,Power CZ3-19.16-16.1-16.1-17.1
6,2,4560,5115.0,Power CZ3-19.17-15.1-16.1
6,2,4608,5141.0,Power CZ3-19.16-16.1-16.1-18.1
6,2,4624,5157.0,Power CZ3-19.16-16.1-17.1-17.1
6,2,4864,5165.0,Power CZ3-19.17-16.1-16.1
6,2,4896,5198.0,Power CZ3-19.16-16.1-17.1-18.1
6,2,5130,5213.0,Power CZ3-19.17-15.1-18.1
6,2,5168,5222.0,Power CZ3-19.17-16.1-17.1
6,2,5415,5237.0,Power CZ3-19.18-15.1
6,2,5472,5263.0,Power CZ3-19.17-16.1-18.1
6,2,5491,5279.0,Power CZ3-19.17-17.1-17.1
6,2,5776,5287.0,Power CZ3-19.18-16.1
6,2,5814,5320.0,Power CZ3-19.17-17.1-18.1
6,2,5832,5321.0,Power CT19^3T1T1T1
6,2,6137,5344.0,Power CZ3-19.18-17.1
6,2,6156,5346.0,Power CT19^3T1T1
6,2,6498,5371.0,Power CT19^3T1
6,2,6859,5396.0,Power CT19^3
6,2,6860,5681.0,Power CT19^3+1
6,2,6861,5975.0,Power CZ3-21.19
6,2,6930,6245.0,Power CZ3-23.16-15.1-21.1-22.1
6,2,6945,6252.0,Power CZ3-23.15-22.3-15.1
6,2,7245,6258.0,Power CZ3-23.17-15.1-21.1
6,2,7260,6265.0,Power CZ3-23.16-22.2-15.1
6,2,7590,6278.0,Power CZ3-23.17-15.1-22.1
6,2,7935,6291.0,Power CZ3-23.18-15.1
6,2,8096,6328.0,Power CZ3-23.17-16.1-22.1
6,2,8464,6341.0,Power CZ3-23.18-16.1
6,2,8602,6385.0,Power CZ3-23.17-17.1-22.1
6,2,8993,6398.0,Power CZ3-23.18-17.1
6,2,9261,6421.0,Power CZ3-23.16-22.0-21.3
6,2,9282,6428.0,Power CZ3-23.15-22.2-21.2
6,2,9303,6435.0,Power CZ3-23.14-22.4-21.1
6,2,9522,6439.0,Power CZ3-23.18-18.1
6,2,9702,6441.0,Power CZ3-23.16-22.1-21.2
6,2,9723,6448.0,Power CZ3-23.15-22.3-21.1
