"catalogue","cat_row","construction","ingredient_call","ing_N","ing_k","ing_vmin","ing_vmax","confidence","stamp_date"
"DPcat",16,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4],     SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",33,192,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","productCA(SCA_Bose(3)[, 1:3], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",25,48,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_Bose(3)",9,4,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",16,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[,     1:4], c1 = 3), c1 = 3), c1 = 3), 3)",43,1024,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), c1 = 3), 3)",35,256,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], c1 = 3), 3)",27,64,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], SCA_LCDST(5, 3)[, 1:4], 3)",19,16,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",17,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[,     1:5], c1 = 3), c1 = 3), c1 = 3), 3)",45,1280,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), c1 = 3), 3)",37,320,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), 3)",29,80,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], CS_CMMSSY(6, 3)[, 1:5], 3)",21,20,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",18,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[,     1:4], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[,     1:5], c1 = 3), c1 = 3), c1 = 3), 3)",47,1600,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(SCA_LCDST(5, 3)[, 1:4], productCA(CS_CMMSSY(6, 3)[,     1:5], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), c1 = 3), 3)",39,400,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), 3)",31,100,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[, 1:5], 3)",23,25,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",19,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",20,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
