"child","parent","parent_call"
"PCAcat 313","PCAcat 296","productPCA(CS_CMMSSY(18, 13), SCA_LCDST(19, 13))"
"PCAcat 314","PCAcat 297","productPCA(SCA_LCDST(19, 13), SCA_LCDST(19, 13))"
"PCAcat 315","PCAcat 297","productPCA(SCA_LCDST(19, 13), SCA_LCDST(19, 13))"
"PCAcat 316","PCAcat 298","productPCA(SCA_LCDST(19, 13), SCA_LCDST(20, 13))"
"PCAcat 317","PCAcat 299","productPCA(SCA_LCDST(20, 13), SCA_LCDST(20, 13))"
"PCAcat 318","PCAcat 299","productPCA(SCA_LCDST(20, 13), SCA_LCDST(20, 13))"
"PCAcat 319","PCAcat 300","productPCA(SCA_LCDST(20, 13), SCA_LCDST(21, 13))"
"PCAcat 320","PCAcat 301","productPCA(SCA_LCDST(21, 13), SCA_LCDST(21, 13))"
"PCAcat 321","PCAcat 308","productPCA(SCA_Bose(13), productPCA(CS_CMMSSY(18, 13), CS_CMMSSY(18, 13)))"
"PCAcat 321","PCAcat 295","productPCA(CS_CMMSSY(18, 13), CS_CMMSSY(18, 13))"
"PCAcat 339","PCAcat 322","productPCA(SCA_LCDST(21, 14), SCA_LCDST(21, 14))"
"PCAcat 340","PCAcat 323","productPCA(SCA_LCDST(21, 14), SCA_LCDST(22, 14))"
"PCAcat 341","PCAcat 324","productPCA(SCA_LCDST(22, 14), SCA_LCDST(22, 14))"
"PCAcat 342","PCAcat 324","productPCA(SCA_LCDST(22, 14), SCA_LCDST(22, 14))"
"PCAcat 343","PCAcat 325","productPCA(SCA_LCDST(22, 14), SCA_LCDST(23, 14))"
"PCAcat 344","PCAcat 326","productPCA(SCA_LCDST(23, 14), SCA_LCDST(23, 14))"
"PCAcat 345","PCAcat 326","productPCA(SCA_LCDST(23, 14), SCA_LCDST(23, 14))"
"PCAcat 346","PCAcat 327","productPCA(SCA_LCDST(23, 14), SCA_MS(24, 14))"
"PCAcat 347","PCAcat 328","productPCA(SCA_MS(24, 14), SCA_MS(24, 14))"
"PCAcat 348","PCAcat 328","productPCA(SCA_MS(24, 14), SCA_MS(24, 14))"
"PCAcat 349","PCAcat 329","productPCA(SCA_MS(24, 14), SCA_LCDST(25, 14))"
"PCAcat 350","PCAcat 330","productPCA(SCA_LCDST(25, 14), SCA_LCDST(25, 14))"
"PCAcat 351","PCAcat 330","productPCA(SCA_LCDST(25, 14), SCA_LCDST(25, 14))"
"PCAcat 352","PCAcat 331","productPCA(SCA_LCDST(25, 14), SCA_MS(26, 14))"
"PCAcat 353","PCAcat 332","productPCA(SCA_MS(26, 14), SCA_MS(26, 14))"
"PCAcat 354","PCAcat 332","productPCA(SCA_MS(26, 14), SCA_MS(26, 14))"
"PCAcat 355","PCAcat 333","productPCA(SCA_MS(26, 14), SCA_MS(27, 14))"
"PCAcat 356","PCAcat 334","productPCA(SCA_MS(27, 14), SCA_MS(27, 14))"
"PCAcat 357","PCAcat 334","productPCA(SCA_MS(27, 14), SCA_MS(27, 14))"
"PCAcat 358","PCAcat 335","productPCA(SCA_MS(27, 14), SCA_MS(28, 14))"
"PCAcat 374","PCAcat 359","productPCA(SCA_LCDST(24, 15), SCA_LCDST(24, 15))"
"PCAcat 375","PCAcat 360","productPCA(SCA_LCDST(24, 15), SCA_LCDST(25, 15))"
"PCAcat 376","PCAcat 361","productPCA(SCA_LCDST(25, 15), SCA_LCDST(25, 15))"
"PCAcat 377","PCAcat 361","productPCA(SCA_LCDST(25, 15), SCA_LCDST(25, 15))"
"PCAcat 378","PCAcat 362","productPCA(SCA_LCDST(25, 15), SCA_LCDST(26, 15))"
"PCAcat 379","PCAcat 363","productPCA(SCA_LCDST(26, 15), SCA_LCDST(26, 15))"
"PCAcat 380","PCAcat 363","productPCA(SCA_LCDST(26, 15), SCA_LCDST(26, 15))"
"PCAcat 381","PCAcat 364","productPCA(SCA_LCDST(26, 15), SCA_LCDST(27, 15))"
"PCAcat 382","PCAcat 365","productPCA(SCA_LCDST(27, 15), SCA_LCDST(27, 15))"
"PCAcat 383","PCAcat 365","productPCA(SCA_LCDST(27, 15), SCA_LCDST(27, 15))"
"PCAcat 384","PCAcat 366","productPCA(SCA_LCDST(27, 15), CS_CMMSSY(28, 15))"
"PCAcat 400","PCAcat 385","productPCA(SCA_LCDST(25, 16), SCA_LCDST(25, 16))"
"PCAcat 401","PCAcat 386","productPCA(SCA_LCDST(25, 16), SCA_LCDST(27, 16))"
"PCAcat 402","PCAcat 387","productPCA(SCA_LCDST(25, 16), SCA_LCDST(28, 16))"
"PCAcat 403","PCAcat 388","productPCA(SCA_LCDST(27, 16), SCA_LCDST(27, 16))"
"PCAcat 404","PCAcat 389","productPCA(SCA_LCDST(27, 16), SCA_LCDST(28, 16))"
"PCAcat 405","PCAcat 390","productPCA(SCA_LCDST(28, 16), SCA_LCDST(28, 16))"
"PCAcat 406","PCAcat 391","productPCA(SCA_LCDST(28, 16), SCA_LCDST(29, 16))"
"PCAcat 407","PCAcat 385","productPCA(SCA_LCDST(25, 16), SCA_LCDST(25, 16))"
"PCAcat 408","PCAcat 386","productPCA(SCA_LCDST(25, 16), SCA_LCDST(27, 16))"
"PCAcat 409","PCAcat 387","productPCA(SCA_LCDST(25, 16), SCA_LCDST(28, 16))"
"PCAcat 410","PCAcat 388","productPCA(SCA_LCDST(27, 16), SCA_LCDST(27, 16))"
"PCAcat 411","PCAcat 389","productPCA(SCA_LCDST(27, 16), SCA_LCDST(28, 16))"
"PCAcat 412","PCAcat 388","productPCA(SCA_LCDST(27, 16), SCA_LCDST(27, 16))"
"PCAcat 413","PCAcat 389","productPCA(SCA_LCDST(27, 16), SCA_LCDST(28, 16))"
"PCAcat 421","PCAcat 414","productPCA(SCA_LCDST(31, 17), SCA_LCDST(31, 17))"
"PCAcat 422","PCAcat 415","productPCA(SCA_LCDST(31, 17), CS_CMMSSY(32, 17))"
"PCAcat 423","PCAcat 416","productPCA(CS_CMMSSY(32, 17), CS_CMMSSY(32, 17))"
"PCAcat 424","PCAcat 417","productPCA(CS_CMMSSY(32, 17), SCA_MS(33, 17))"
"PCAcat 425","PCAcat 418","productPCA(SCA_MS(33, 17), SCA_MS(33, 17))"
"PCAcat 426","PCAcat 419","productPCA(SCA_MS(33, 17), SCA_MS(34, 17))"
"PCAcat 437","PCAcat 427","productPCA(SCA_LCDST(32, 18), SCA_LCDST(32, 18))"
"PCAcat 439","PCAcat 438","productPCA(SCA_LCDST(36, 19), SCA_LCDST(36, 19))"
"PCAcat 443","PCAcat 440","productPCA(SCA_LCDST(38, 20), SCA_LCDST(38, 20))"
"PCAcat 445","PCAcat 444","productPCA(SCA_LCDST(42, 21), SCA_LCDST(42, 21))"
"PCAcat 447","PCAcat 446","productPCA(SCA_LCDST(44, 22), SCA_LCDST(44, 22))"
"PALEYcat 16","PALEYcat 3","paley_mat(19)"
"PALEYcat 17","PALEYcat 4","paley_mat(23)"
"PALEYcat 95","PALEYcat 27","paley_mat(67)"
"PALEYcat 96","PALEYcat 28","paley_mat(71)"
"PALEYcat 97","PALEYcat 30","paley_mat(79)"
"PALEYcat 98","PALEYcat 31","paley_mat(83)"
"PALEYcat 171","PALEYcat 147","paley_mat(359)"
