"child","parent","parent_call"
"PCAcat 31","PCAcat 24","productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4))"
"PCAcat 33","PCAcat 26","productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4))"
"PCAcat 34","PCAcat 25","productPCA(SCA_LCDST(6, 4), miscCA(2, 7, 4))"
"PCAcat 35","PCAcat 27","productPCA(miscCA(2, 7, 4), miscCA(2, 8, 4))"
"PCAcat 36","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 37","PCAcat 29","productPCA(miscCA(2, 7, 4), miscCA(2, 15, 4))"
"PCAcat 38","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 39","PCAcat 30","productPCA(miscCA(2, 8, 4), miscCA(2, 15, 4))"
"PCAcat 40","PCAcat 31","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4)))"
"PCAcat 40","PCAcat 24","productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4))"
"PCAcat 41","PCAcat 32","productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4))"
"PCAcat 42","PCAcat 33","productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4)))"
"PCAcat 42","PCAcat 26","productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4))"
"PCAcat 43","PCAcat 32","productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4))"
"PCAcat 44","PCAcat 36","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4)))"
"PCAcat 44","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 45","PCAcat 37","productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2, 15, 4)))"
"PCAcat 45","PCAcat 29","productPCA(miscCA(2, 7, 4), miscCA(2, 15, 4))"
"PCAcat 46","PCAcat 36","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4)))"
"PCAcat 46","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 47","PCAcat 39","productPCA(SCA_Bose(4), productPCA(miscCA(2, 8, 4), miscCA(2, 15, 4)))"
"PCAcat 47","PCAcat 30","productPCA(miscCA(2, 8, 4), miscCA(2, 15, 4))"
"PCAcat 48","PCAcat 40","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), SCA_LCDST(6,     4))))"
"PCAcat 48","PCAcat 31","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4)))"
"PCAcat 48","PCAcat 24","productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4))"
"PCAcat 49","PCAcat 41","productPCA(SCA_Bose(4), productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4)))"
"PCAcat 49","PCAcat 32","productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4))"
"PCAcat 50","PCAcat 42","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2,     7, 4))))"
"PCAcat 50","PCAcat 33","productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4)))"
"PCAcat 50","PCAcat 26","productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4))"
"PCAcat 51","PCAcat 41","productPCA(SCA_Bose(4), productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4)))"
"PCAcat 51","PCAcat 32","productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4))"
"PCAcat 52","PCAcat 44","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2,     15, 4))))"
"PCAcat 52","PCAcat 36","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4)))"
"PCAcat 52","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 53","PCAcat 45","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2,     15, 4))))"
"PCAcat 53","PCAcat 37","productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2, 15, 4)))"
"PCAcat 53","PCAcat 29","productPCA(miscCA(2, 7, 4), miscCA(2, 15, 4))"
"PCAcat 54","PCAcat 44","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2,     15, 4))))"
"PCAcat 54","PCAcat 36","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4)))"
"PCAcat 54","PCAcat 28","productPCA(SCA_LCDST(6, 4), miscCA(2, 15, 4))"
"PCAcat 55","PCAcat 47","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2, 8, 4), miscCA(2,     15, 4))))"
"PCAcat 55","PCAcat 39","productPCA(SCA_Bose(4), productPCA(miscCA(2, 8, 4), miscCA(2, 15, 4)))"
"PCAcat 55","PCAcat 30","productPCA(miscCA(2, 8, 4), miscCA(2, 15, 4))"
"PCAcat 56","PCAcat 48","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6,     4), SCA_LCDST(6, 4)))))"
"PCAcat 56","PCAcat 40","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), SCA_LCDST(6,     4))))"
"PCAcat 56","PCAcat 31","productPCA(SCA_Bose(4), productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4)))"
"PCAcat 56","PCAcat 24","productPCA(SCA_LCDST(6, 4), SCA_LCDST(6, 4))"
"PCAcat 57","PCAcat 49","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2, 15, 4), miscCA(2,     15, 4))))"
"PCAcat 57","PCAcat 41","productPCA(SCA_Bose(4), productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4)))"
"PCAcat 57","PCAcat 32","productPCA(miscCA(2, 15, 4), miscCA(2, 15, 4))"
"PCAcat 58","PCAcat 50","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2,     7, 4), miscCA(2, 7, 4)))))"
"PCAcat 58","PCAcat 42","productPCA(SCA_Bose(4), productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2,     7, 4))))"
"PCAcat 58","PCAcat 33","productPCA(SCA_Bose(4), productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4)))"
"PCAcat 58","PCAcat 26","productPCA(miscCA(2, 7, 4), miscCA(2, 7, 4))"
"PCAcat 67","PCAcat 59","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5))"
"PCAcat 68","PCAcat 60","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7, 5))"
"PCAcat 69","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 70","PCAcat 62","productPCA(CS_CMMSSY(6, 5), miscCA(2, 9, 5))"
"PCAcat 71","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 72","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 73","PCAcat 63","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(8, 5))"
"PCAcat 74","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 75","PCAcat 67","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5)))"
"PCAcat 75","PCAcat 59","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5))"
"PCAcat 76","PCAcat 68","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7, 5)))"
"PCAcat 76","PCAcat 60","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7, 5))"
"PCAcat 77","PCAcat 69","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 77","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 78","PCAcat 70","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), miscCA(2, 9, 5)))"
"PCAcat 78","PCAcat 62","productPCA(CS_CMMSSY(6, 5), miscCA(2, 9, 5))"
"PCAcat 79","PCAcat 71","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 79","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 80","PCAcat 72","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5)))"
"PCAcat 80","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 81","PCAcat 71","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 81","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 82","PCAcat 74","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5)))"
"PCAcat 82","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 83","PCAcat 75","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6,     5))))"
"PCAcat 83","PCAcat 67","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5)))"
"PCAcat 83","PCAcat 59","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5))"
"PCAcat 84","PCAcat 76","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7,     5))))"
"PCAcat 84","PCAcat 68","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7, 5)))"
"PCAcat 84","PCAcat 60","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(7, 5))"
"PCAcat 85","PCAcat 77","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7,     5))))"
"PCAcat 85","PCAcat 69","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 85","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 86","PCAcat 78","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), miscCA(2,     9, 5))))"
"PCAcat 86","PCAcat 70","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), miscCA(2, 9, 5)))"
"PCAcat 86","PCAcat 62","productPCA(CS_CMMSSY(6, 5), miscCA(2, 9, 5))"
"PCAcat 87","PCAcat 79","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7,     5))))"
"PCAcat 87","PCAcat 71","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 87","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 88","PCAcat 80","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2,     9, 5))))"
"PCAcat 88","PCAcat 72","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5)))"
"PCAcat 88","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 89","PCAcat 81","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7,     5))))"
"PCAcat 89","PCAcat 71","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5)))"
"PCAcat 89","PCAcat 61","productPCA(CS_CMMSSY(7, 5), CS_CMMSSY(7, 5))"
"PCAcat 90","PCAcat 82","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2,     9, 5))))"
"PCAcat 90","PCAcat 74","productPCA(CS_CMMSSY(7, 5), productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5)))"
"PCAcat 90","PCAcat 64","productPCA(CS_CMMSSY(7, 5), miscCA(2, 9, 5))"
"PCAcat 91","PCAcat 83","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6,     5), CS_CMMSSY(6, 5)))))"
"PCAcat 91","PCAcat 75","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6,     5))))"
"PCAcat 91","PCAcat 67","productPCA(CS_CMMSSY(6, 5), productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5)))"
"PCAcat 91","PCAcat 59","productPCA(CS_CMMSSY(6, 5), CS_CMMSSY(6, 5))"
"PCAcat 105","PCAcat 97","productPCA(miscCA(2, 5, 6), miscCA(2, 6, 6))"
"PCAcat 107","PCAcat 98","productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6))"
"PCAcat 108","PCAcat 98","productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6))"
"PCAcat 109","PCAcat 98","productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6))"
"PCAcat 110","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 111","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 112","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 113","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 114","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 115","PCAcat 102","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(10, 6))"
"PCAcat 116","PCAcat 103","productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6))"
"PCAcat 117","PCAcat 103","productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6))"
"PCAcat 118","PCAcat 109","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6)))"
"PCAcat 118","PCAcat 98","productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6))"
"PCAcat 119","PCAcat 109","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6)))"
"PCAcat 119","PCAcat 98","productPCA(miscCA(2, 6, 6), miscCA(2, 6, 6))"
"PCAcat 120","PCAcat 111","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)))"
"PCAcat 120","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 121","PCAcat 111","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)))"
"PCAcat 121","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 122","PCAcat 113","productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 122","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 123","PCAcat 113","productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 123","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 124","PCAcat 114","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 124","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 125","PCAcat 114","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 125","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 126","PCAcat 114","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 126","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 127","PCAcat 115","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(10, 6)))"
"PCAcat 127","PCAcat 102","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(10, 6))"
"PCAcat 128","PCAcat 116","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6)))"
"PCAcat 128","PCAcat 103","productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6))"
"PCAcat 129","PCAcat 117","productPCA(CS_CMMSSY(10, 6), productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6)))"
"PCAcat 129","PCAcat 103","productPCA(CS_CMMSSY(10, 6), CS_CMMSSY(10, 6))"
"PCAcat 130","PCAcat 121","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9,     6))))"
"PCAcat 130","PCAcat 111","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)))"
"PCAcat 130","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 131","PCAcat 121","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9,     6))))"
"PCAcat 131","PCAcat 111","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)))"
"PCAcat 131","PCAcat 100","productPCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6))"
"PCAcat 132","PCAcat 123","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6))))"
"PCAcat 132","PCAcat 113","productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 132","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 133","PCAcat 123","productPCA(miscCA(2, 6, 6), productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6))))"
"PCAcat 133","PCAcat 113","productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 133","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
"PCAcat 134","PCAcat 125","productPCA(miscCA(2, 6, 6), productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9,     6))))"
"PCAcat 134","PCAcat 114","productPCA(CS_CMMSSY(9, 6), productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6)))"
"PCAcat 134","PCAcat 101","productPCA(CS_CMMSSY(9, 6), CS_CMMSSY(9, 6))"
