"t","v","k","N","Source","generalized","postop","k1","k2","N_gen","N_plain","d_gen","d_plain","arith_tier"
2,9,300,223,"Direct product",FALSE,FALSE,10,30,220,228,3,-5,"ARITH_OPEN"
2,9,1000,238,"Direct product",FALSE,FALSE,10,100,232,240,6,-2,"ARITH_OPEN"
2,9,1092,242,"Direct product",FALSE,FALSE,10,110,246,254,-4,-12,"ARITH_OPEN"
2,9,1287,254,"Direct product",FALSE,FALSE,10,129,249,257,5,-3,"ARITH_OPEN"
2,9,1300,255,"Direct product",FALSE,FALSE,10,130,254,262,1,-7,"ARITH_OPEN"
2,9,1386,256,"Direct product",FALSE,FALSE,10,139,256,264,0,-8,"ARITHMETIC"
2,9,1400,258,"Direct product",FALSE,FALSE,10,140,256,264,2,-6,"ARITH_OPEN"
2,9,2200,283,"Direct product",FALSE,FALSE,10,220,277,285,6,-2,"ARITH_OPEN"
2,9,2376,287,"Direct product",FALSE,FALSE,22,108,287,295,0,-8,"ARITHMETIC"
2,9,2475,288,"Direct product",FALSE,FALSE,10,248,288,296,0,-8,"ARITHMETIC"
2,9,2574,289,"Direct product",FALSE,FALSE,10,258,289,297,0,-8,"ARITHMETIC"
2,9,2970,295,"Direct product",FALSE,FALSE,10,297,292,300,3,-5,"ARITH_OPEN"
2,9,12753,326,"Direct product",FALSE,FALSE,10,1276,321,329,5,-3,"ARITH_OPEN"
2,9,12870,327,"Direct product",FALSE,FALSE,10,1287,326,334,1,-7,"ARITH_OPEN"
2,9,13734,328,"Direct product",FALSE,FALSE,10,1374,328,336,0,-8,"ARITHMETIC"
2,9,13860,330,"Direct product",FALSE,FALSE,10,1386,328,336,2,-6,"ARITH_OPEN"
2,10,49,200,"Direct product generalized",TRUE,FALSE,6,9,205,214,-5,-14,"ARITH_OPEN"
2,10,84,211,"Direct product",FALSE,FALSE,7,12,217,226,-6,-15,"ARITH_OPEN"
2,10,96,212,"Direct product generalized",TRUE,FALSE,8,12,218,227,-6,-15,"ARITH_OPEN"
2,10,108,213,"Direct product generalized",TRUE,FALSE,9,12,219,228,-6,-15,"ARITH_OPEN"
2,10,109,215,"Direct product generalized",TRUE,FALSE,10,11,221,230,-6,-15,"ARITH_OPEN"
2,10,121,216,"Direct product generalized",TRUE,FALSE,11,11,222,231,-6,-15,"ARITH_OPEN"
2,10,144,218,"Direct product",FALSE,FALSE,12,12,222,231,-4,-13,"ARITH_OPEN"
2,10,170,230,"Direct product generalized",TRUE,FALSE,13,14,237,246,-7,-16,"ARITH_OPEN"
2,10,171,235,"Direct product generalized",TRUE,FALSE,13,14,237,246,-2,-11,"ARITH_OPEN"
2,10,173,236,"Direct product generalized",TRUE,FALSE,13,14,237,246,-1,-10,"ARITH_OPEN"
2,10,182,237,"Direct product",FALSE,FALSE,13,14,237,246,0,-9,"ARITHMETIC"
2,10,204,250,"Direct product",FALSE,FALSE,14,15,253,262,-3,-12,"ARITH_OPEN"
2,10,205,252,"Direct product generalized",TRUE,FALSE,14,15,253,262,-1,-10,"ARITH_OPEN"
2,10,222,259,"Direct product generalized",TRUE,FALSE,13,18,260,269,-1,-10,"ARITH_OPEN"
2,10,234,260,"Direct product",FALSE,FALSE,13,18,260,269,0,-9,"ARITHMETIC"
2,10,240,263,"Direct product",FALSE,FALSE,12,20,261,270,2,-7,"ARITH_OPEN"
2,10,260,265,"Direct product",FALSE,FALSE,13,20,265,274,0,-9,"ARITHMETIC"
2,10,286,276,"Direct product",FALSE,FALSE,13,22,276,285,0,-9,"ARITHMETIC"
2,10,299,281,"Direct product",FALSE,FALSE,13,23,281,290,0,-9,"ARITHMETIC"
2,10,302,284,"Direct product generalized",TRUE,FALSE,14,22,283,292,1,-8,"ARITH_OPEN"
2,10,312,285,"Direct product generalized",TRUE,FALSE,13,24,288,297,-3,-12,"ARITH_OPEN"
