"child_t","child_v","child_k","child_N","child_Source","family","ing_t","ing_w","ing_v","ing_range","mult","ing_N_now","ing_k_now","confidence","stamp_date"
4,3,7013,2571,"Add a factor","Add a factor",4,7012,3,FALSE,1,2337,7012,"ARITHMETIC","2026-09-06"
5,3,2684,6953,"Add 1 factors","Add n factors",3,2682,3,FALSE,1,264,2744,"ARITHMETIC","2026-09-06"
5,3,2684,6953,"Add 1 factors","Add n factors",5,2683,3,FALSE,1,5369,2683,"ARITHMETIC","2026-09-06"
5,3,7014,9101,"Add 1 factors","Add n factors",3,7012,3,FALSE,1,348,7168,"ARITHMETIC","2026-09-06"
5,3,7014,9101,"Add 1 factors","Add n factors",5,7013,3,FALSE,1,7013,7013,"ARITHMETIC","2026-09-06"
5,3,7015,9803,"Add 2 factors","Add n factors",2,7012,3,FALSE,1,39,8329,"ARITHMETIC","2026-09-06"
5,3,7015,9803,"Add 2 factors","Add n factors",3,7012,3,FALSE,1,348,7168,"ARITHMETIC","2026-09-06"
5,3,7015,9803,"Add 2 factors","Add n factors",5,7013,3,FALSE,1,7013,7013,"ARITHMETIC","2026-09-06"
5,3,7016,9965,"Add 3 factors","Add n factors",2,7012,3,FALSE,1,39,8329,"ARITHMETIC","2026-09-06"
5,3,7016,9965,"Add 3 factors","Add n factors",3,7012,3,FALSE,1,348,7168,"ARITHMETIC","2026-09-06"
5,3,7016,9965,"Add 3 factors","Add n factors",5,7013,3,FALSE,1,7013,7013,"ARITHMETIC","2026-09-06"
6,3,351,19675,"Add 1 factors","Add n factors",4,349,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,351,19675,"Add 1 factors","Add n factors",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,352,22969,"Add 2 factors","Add n factors",3,349,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,352,22969,"Add 2 factors","Add n factors",4,349,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,352,22969,"Add 2 factors","Add n factors",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,353,24427,"Add 3 factors","Add n factors",2,349,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,353,24427,"Add 3 factors","Add n factors",3,349,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,353,24427,"Add 3 factors","Add n factors",4,349,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,353,24427,"Add 3 factors","Add n factors",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,354,29635,"Add 3 factors","Add n factors",2,350,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,354,29635,"Add 3 factors","Add n factors",3,350,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,354,29635,"Add 3 factors","Add n factors",4,350,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,354,29635,"Add 3 factors","Add n factors",6,351,3,FALSE,1,19675,351,"ARITHMETIC","2026-09-06"
6,3,355,32929,"Add 3 factors","Add n factors",2,351,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,355,32929,"Add 3 factors","Add n factors",3,351,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,355,32929,"Add 3 factors","Add n factors",4,351,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,355,32929,"Add 3 factors","Add n factors",6,352,3,FALSE,1,22969,352,"ARITHMETIC","2026-09-06"
6,3,356,34387,"Add 3 factors","Add n factors",2,352,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,356,34387,"Add 3 factors","Add n factors",3,352,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,356,34387,"Add 3 factors","Add n factors",4,352,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,356,34387,"Add 3 factors","Add n factors",6,353,3,FALSE,1,24427,353,"ARITHMETIC","2026-09-06"
6,3,357,39595,"Add 3 factors","Add n factors",2,353,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,357,39595,"Add 3 factors","Add n factors",3,353,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,357,39595,"Add 3 factors","Add n factors",4,353,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,357,39595,"Add 3 factors","Add n factors",6,354,3,FALSE,1,29635,354,"ARITHMETIC","2026-09-06"
6,3,358,42889,"Add 3 factors","Add n factors",2,354,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,358,42889,"Add 3 factors","Add n factors",3,354,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,358,42889,"Add 3 factors","Add n factors",4,354,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,358,42889,"Add 3 factors","Add n factors",6,355,3,FALSE,1,32929,355,"ARITHMETIC","2026-09-06"
6,3,359,44347,"Add 3 factors","Add n factors",2,355,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,359,44347,"Add 3 factors","Add n factors",3,355,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,359,44347,"Add 3 factors","Add n factors",4,355,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,359,44347,"Add 3 factors","Add n factors",6,356,3,FALSE,1,34387,356,"ARITHMETIC","2026-09-06"
6,3,360,49555,"Add 3 factors","Add n factors",2,356,3,FALSE,1,27,435,"ARITHMETIC","2026-09-06"
6,3,360,49555,"Add 3 factors","Add n factors",3,356,3,FALSE,1,183,378,"ARITHMETIC","2026-09-06"
6,3,360,49555,"Add 3 factors","Add n factors",4,356,3,FALSE,1,868,433,"ARITHMETIC","2026-09-06"
6,3,360,49555,"Add 3 factors","Add n factors",6,357,3,FALSE,1,39595,357,"ARITHMETIC","2026-09-06"
6,3,362,52065,"Power CT19^2+1","Power CT",6,20,3,FALSE,1,4006,20,"ARITHMETIC","2026-09-06"
6,3,363,54587,"Power CT19^2+2","Power CT",6,21,3,FALSE,1,4200,21,"ARITHMETIC","2026-09-06"
6,3,364,57187,"Power CT19^2+3","Power CT",6,22,3,FALSE,1,4400,22,"ARITHMETIC","2026-09-06"
6,3,560,57864,"perfect hash family4,560,350","perfect hash family",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,678,60140,"Martirosyan-Colbourn","Martirosyan-Colbourn",5,339,3,FALSE,1,3156,1051,"ARITHMETIC","2026-09-06"
6,3,678,60140,"Martirosyan-Colbourn","Martirosyan-Colbourn",6,339,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,678,60140,"Martirosyan-Colbourn","Martirosyan-Colbourn",4,339,9,FALSE,1,39361,339,"ARITHMETIC","2026-09-06"
6,3,700,65212,"Martirosyan-Colbourn","Martirosyan-Colbourn",5,350,3,FALSE,1,3156,1051,"ARITHMETIC","2026-09-06"
6,3,700,65212,"Martirosyan-Colbourn","Martirosyan-Colbourn",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,700,65212,"Martirosyan-Colbourn","Martirosyan-Colbourn",4,350,9,FALSE,1,44433,356,"ARITHMETIC","2026-09-06"
6,3,730,69654,"Power CT27^2+1","Power CT",6,28,3,FALSE,1,5359,28,"ARITHMETIC","2026-09-06"
6,3,754,69927,"Power CT29^2T3","Power CT",6,26,3,FALSE,1,5020,26,"ARITHMETIC","2026-09-06"
6,3,754,69927,"Power CT29^2T3","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,756,70056,"Power CT29^2T2T1","Power CT",6,27,3,FALSE,1,5200,27,"ARITHMETIC","2026-09-06"
6,3,756,70056,"Power CT29^2T2T1","Power CT",6,28,3,FALSE,1,5359,28,"ARITHMETIC","2026-09-06"
6,3,756,70056,"Power CT29^2T2T1","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,783,70107,"Power CT29^2T2","Power CT",6,27,3,FALSE,1,5200,27,"ARITHMETIC","2026-09-06"
6,3,783,70107,"Power CT29^2T2","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,784,70215,"Power CT29^2T1T1","Power CT",6,28,3,FALSE,2,5359,28,"ARITHMETIC","2026-09-06"
6,3,784,70215,"Power CT29^2T1T1","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,812,70266,"Power CT29^2T1","Power CT",6,28,3,FALSE,1,5359,28,"ARITHMETIC","2026-09-06"
6,3,812,70266,"Power CT29^2T1","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,841,70317,"Power CT29^2","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,866,72330,"perfect hash family5,866,350","perfect hash family",6,350,3,FALSE,1,14467,350,"ARITHMETIC","2026-09-06"
6,3,870,73570,"Power CT31^2T2T1","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,870,73570,"Power CT31^2T2T1","Power CT",6,30,3,FALSE,1,5572,30,"ARITHMETIC","2026-09-06"
6,3,870,73570,"Power CT31^2T2T1","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,871,73613,"Power CT31^2Arc(3)","Power CT",6,30,3,FALSE,3,5572,30,"ARITHMETIC","2026-09-06"
6,3,871,73613,"Power CT31^2Arc(3)","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,899,73689,"Power CT31^2T2","Power CT",6,29,3,FALSE,1,5410,29,"ARITHMETIC","2026-09-06"
6,3,899,73689,"Power CT31^2T2","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
