"id","N_book","N_base","N_swap"
"PCAcat 128",176,176,176
"PCAcat 129",181,181,181
"PCAcat 130",184,184,184
"PCAcat 131",186,186,186
"PCAcat 132",189,189,189
"PCAcat 133",191,191,191
"PCAcat 134",194,194,194
"PCAcat 135",196,196,196
"PCAcat 136",91,91,91
"PCAcat 137",103,103,103
"PCAcat 138",109,109,109
"PCAcat 139",115,115,115
"PCAcat 140",121,121,121
"PCAcat 141",127,127,127
"PCAcat 142",133,133,133
"PCAcat 143",145,145,145
"PCAcat 144",151,151,151
"PCAcat 145",157,157,157
"PCAcat 146",163,163,163
"PCAcat 147",169,169,169
"PCAcat 148",175,175,175
"PCAcat 149",187,187,187
"PCAcat 150",193,193,193
"PCAcat 151",199,199,199
"PCAcat 152",205,205,205
"PCAcat 153",211,211,211
"PCAcat 154",217,217,217
"PCAcat 155",148,148,148
"PCAcat 156",155,155,155
"PCAcat 157",162,162,162
"PCAcat 158",169,169,169
"PCAcat 159",176,176,176
"PCAcat 160",183,183,183
"PCAcat 161",190,190,190
"PCAcat 162",197,197,197
"PCAcat 163",204,204,204
"PCAcat 164",211,211,211
"PCAcat 165",218,218,218
"PCAcat 166",225,225,225
"PCAcat 167",232,232,232
"PCAcat 168",239,239,239
"PCAcat 169",246,246,246
"PCAcat 170",253,253,253
"PCAcat 171",260,260,260
"PCAcat 172",267,267,267
"PCAcat 173",274,274,274
"PCAcat 174",281,281,281
"PCAcat 175",288,288,288
"PCAcat 176",295,295,295
"PCAcat 177",302,302,302
"PCAcat 178",309,309,309
"PCAcat 179",316,316,316
"PCAcat 180",201,201,201
"PCAcat 181",209,209,209
"PCAcat 182",217,217,217
"PCAcat 183",225,225,225
"PCAcat 184",233,233,233
"PCAcat 185",241,241,241
"PCAcat 186",249,249,249
"PCAcat 187",257,257,257
"PCAcat 188",265,265,265
"PCAcat 189",273,273,273
"PCAcat 190",281,281,281
"PCAcat 191",289,289,289
"PCAcat 192",297,297,297
"PCAcat 193",305,305,305
"PCAcat 194",313,313,313
"PCAcat 195",321,321,321
"PCAcat 196",329,329,329
"PCAcat 197",337,337,337
"PCAcat 198",345,345,345
"PCAcat 199",353,353,353
"PCAcat 200",361,361,361
"PCAcat 201",369,369,369
"PCAcat 202",190,190,190
"PCAcat 203",226,226,226
"PCAcat 204",235,235,235
"PCAcat 205",244,244,244
"PCAcat 206",253,253,253
"PCAcat 207",262,262,262
"PCAcat 208",271,271,271
"PCAcat 209",280,280,280
"PCAcat 210",289,289,289
"PCAcat 211",298,298,298
"PCAcat 212",307,307,307
"PCAcat 213",316,316,316
"PCAcat 214",325,325,325
"PCAcat 215",334,334,334
"PCAcat 216",343,343,343
"PCAcat 217",352,352,352
"PCAcat 218",361,361,361
"PCAcat 219",370,370,370
"PCAcat 220",379,379,379
"PCAcat 221",388,388,388
"PCAcat 222",397,397,397
"PCAcat 223",406,406,406
"PCAcat 224",415,415,415
"PCAcat 225",424,424,424
"PCAcat 226",433,433,433
"PCAcat 227",442,442,442
"PCAcat 228",451,451,451
"PCAcat 229",460,460,460
"PCAcat 230",469,469,469
"PCAcat 231",478,478,478
"PCAcat 232",487,487,487
"PCAcat 233",496,496,496
"PCAcat 234",505,505,505
"PCAcat 235",514,514,514
"PCAcat 236",311,311,311
"PCAcat 237",321,321,321
"PCAcat 238",331,331,331
"PCAcat 239",341,341,341
"PCAcat 240",351,351,351
"PCAcat 241",361,361,361
"PCAcat 242",371,371,371
"PCAcat 243",381,381,381
"PCAcat 244",391,391,391
"PCAcat 245",401,401,401
"PCAcat 246",411,411,411
"PCAcat 247",421,421,421
"PCAcat 248",431,431,431
"PCAcat 249",441,441,441
"PCAcat 250",451,451,451
"PCAcat 251",461,461,461
"PCAcat 252",471,471,471
"PCAcat 253",481,481,481
"PCAcat 254",491,491,491
"PCAcat 255",501,501,501
"PCAcat 256",511,511,511
"PCAcat 257",521,521,521
"PCAcat 258",531,531,531
"PCAcat 259",276,276,276
"PCAcat 260",331,331,331
"PCAcat 261",342,342,342
"PCAcat 262",353,353,353
"PCAcat 263",364,364,364
"PCAcat 264",375,375,375
"PCAcat 265",386,386,386
"PCAcat 266",397,397,397
"PCAcat 267",408,408,408
"PCAcat 268",419,419,419
"PCAcat 269",430,430,430
"PCAcat 270",441,441,441
"PCAcat 271",452,452,452
"PCAcat 272",463,463,463
"PCAcat 273",474,474,474
"PCAcat 274",485,485,485
"PCAcat 275",496,496,496
"PCAcat 276",507,507,507
"PCAcat 277",518,518,518
"PCAcat 278",529,529,529
"PCAcat 279",540,540,540
"PCAcat 280",551,551,551
"PCAcat 281",562,562,562
"PCAcat 282",573,573,573
"PCAcat 283",584,584,584
"PCAcat 284",595,595,595
"PCAcat 285",606,606,606
"PCAcat 286",617,617,617
"PCAcat 287",628,628,628
"PCAcat 288",639,639,639
