"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,6,253,3525599,"Add 2 factors",2,3525599,TRUE,"ARITHMETIC"
"Add n factors",6,6,254,3655167,"Add 5 factors",5,3415746,FALSE,"ARITH_OPEN"
"Add n factors",6,6,255,3741607,"Add 5 factors",5,3502186,FALSE,"ARITH_OPEN"
"Add n factors",6,6,256,3829390,"Add 6 factors",6,3502186,FALSE,"ARITH_OPEN"
"Add n factors",6,6,257,4043963,"Add 6 factors",6,3716759,FALSE,"ARITH_OPEN"
"Add n factors",6,6,258,4258931,"Add 7 factors",7,3716759,FALSE,"ARITH_OPEN"
"Add n factors",6,6,259,4735571,"Add 7 factors",7,4193399,FALSE,"ARITH_OPEN"
"Add n factors",6,6,260,4868788,"Add 5 factors",5,4629367,FALSE,"ARITH_OPEN"
"Add n factors",6,6,261,4956571,"Add 6 factors",6,4629367,FALSE,"ARITH_OPEN"
"Add n factors",6,6,262,5044354,"Add 6 factors",6,4717150,FALSE,"ARITH_OPEN"
"Add n factors",6,6,626,8006080,"Add 1 factors",1,8006080,TRUE,"ARITHMETIC"
"Add n factors",6,6,627,8265280,"Add 2 factors",2,8265280,TRUE,"ARITHMETIC"
"Add n factors",6,6,965,9300210,"Add 1 factors",1,9300210,TRUE,"ARITHMETIC"
"Add n factors",6,6,2212,10359044,"Add 1 factors",1,10359044,TRUE,"ARITHMETIC"
"Add n factors",6,6,2213,10732184,"Add 2 factors",2,10732184,TRUE,"ARITHMETIC"
"Add n factors",6,6,7926,13070836,"Add 1 factors",1,13070836,TRUE,"ARITHMETIC"
"Add n factors",5,7,703,293293,"Add 1 factors",1,293293,TRUE,"ARITHMETIC"
"Add n factors",5,7,704,338275,"Add 2 factors",2,338275,TRUE,"ARITHMETIC"
"Add n factors",5,7,705,352681,"Add 3 factors",3,352681,TRUE,"ARITHMETIC"
"Add n factors",5,7,709,367087,"Add 7 factors",7,367087,TRUE,"ARITHMETIC"
"Add n factors",5,7,813,468712,"Add 1 factors",1,468712,TRUE,"ARITHMETIC"
"Add n factors",5,7,814,515164,"Add 2 factors",2,515164,TRUE,"ARITHMETIC"
"Add n factors",5,7,815,529570,"Add 3 factors",3,529570,TRUE,"ARITHMETIC"
"Add n factors",6,7,245,2101729,"Add 1 factors",1,2101729,TRUE,"ARITHMETIC"
"Add n factors",6,7,246,2548315,"Add 2 factors",2,2548315,TRUE,"ARITHMETIC"
"Add n factors",6,7,247,2822029,"Add 3 factors",3,2822029,TRUE,"ARITHMETIC"
"Add n factors",6,7,248,2922871,"Add 4 factors",4,2922871,TRUE,"ARITHMETIC"
"Add n factors",6,7,251,3023713,"Add 7 factors",7,3023713,TRUE,"ARITHMETIC"
"Add n factors",6,7,252,3724315,"Add 7 factors",7,3724315,TRUE,"ARITHMETIC"
"Add n factors",6,7,253,4170901,"Add 7 factors",7,4170901,TRUE,"ARITHMETIC"
"Add n factors",6,7,254,4444615,"Add 7 factors",7,4444615,TRUE,"ARITHMETIC"
"Add n factors",6,7,255,4545457,"Add 7 factors",7,4545457,TRUE,"ARITHMETIC"
