"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",6,6,70,938747,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",938747,"ARITHMETIC"
"fuse",6,6,75,940805,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",940805,"ARITHMETIC"
"fuse",6,6,76,941099,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",941099,"ARITHMETIC"
"fuse",6,6,93,941183,"CPHF IPO 8 (WCS) fuse",1,"CPHF IPO 8 (WCS)",941183,"ARITHMETIC"
"fuse",6,6,95,1056389,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1056389,"ARITHMETIC"
"fuse",6,6,101,1058447,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1058447,"ARITHMETIC"
"fuse",6,6,103,1058741,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1058741,"ARITHMETIC"
"fuse",6,6,106,1126025,"5,5,5-Restricted SCPHF RE (CL) fuse",1,"5,5,5-Restricted SCPHF RE (CL)",1126025,"ARITHMETIC"
"fuse",6,6,116,1142825,"5,5-Restricted SCPHF RE (CL) fuse",1,"5,5-Restricted SCPHF RE (CL)",1142825,"ARITHMETIC"
"fuse",6,6,127,1159625,"5-Restricted SCPHF RE (CL) fuse",1,"5-Restricted SCPHF RE (CL)",1159625,"ARITHMETIC"
"fuse",6,6,132,1174031,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",1174031,"ARITHMETIC"
"fuse",6,6,135,1176089,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",1176089,"ARITHMETIC"
"fuse",6,6,138,1176383,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",1176383,"ARITHMETIC"
"fuse",6,6,140,1176425,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1176425,"ARITHMETIC"
"fuse",6,6,193,1294067,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1294067,"ARITHMETIC"
"fuse",6,6,195,1294127,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",1294127,"ARITHMETIC"
"fuse",6,6,244,1411709,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",1411709,"ARITHMETIC"
"fuse",3,7,64,1014,"SCPHF Conditional Expectation (CLS) fuse",1,"SCPHF Conditional Expectation (CLS)",1014,"ARITHMETIC"
"fuse",5,7,749,384950,"4,4-Restricted SCPHF RE (CL) fuse",1,"4,4-Restricted SCPHF RE (CL)",384950,"ARITHMETIC"
"fuse",5,7,812,389038,"4-Restricted SCPHF RE (CL) fuse",1,"4-Restricted SCPHF RE (CL)",389038,"ARITHMETIC"
"fuse",3,8,75,1447,"SCPHF LFSR (TJ-IM) fuse",1,"SCPHF LFSR (TJ-IM)",1447,"ARITHMETIC"
"fuse",3,8,91,1455,"Raaphorst-Moura-Stevens fuse",1,"Raaphorst-Moura-Stevens",1455,"ARITHMETIC"
"fuse",5,8,818,648727,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",648727,"ARITHMETIC"
"fuse",3,10,113,2649,"SCPHF LFSR (TJ-IM) fuse",1,"SCPHF LFSR (TJ-IM)",2649,"ARITHMETIC"
"fuse",3,10,133,2659,"Raaphorst-Moura-Stevens fuse",1,"Raaphorst-Moura-Stevens",2659,"ARITHMETIC"
"fuse",3,10,398,4376,"Cyclotomy (Colbourn) fuse",1,"Cyclotomy (Colbourn)",4376,"ARITHMETIC"
"fuse",3,10,428,5179,"Path-Restricted SCPHF RE (CLS) fuse",1,"Path-Restricted SCPHF RE (CLS)",5179,"ARITHMETIC"
"fuse",3,10,550,5289,"SCPHF Conditional Expectation (CLS) fuse",1,"SCPHF Conditional Expectation (CLS)",5289,"ARITHMETIC"
"fuse",3,10,557,5309,"Restricted CPHF Ext  4( 0, 2) WCS fuse",1,"Restricted CPHF Ext  4( 0, 2) WCS",5309,"ARITHMETIC"
"fuse",3,10,564,5319,"Restricted CPHF Ext  4( 0, 0) WCS fuse",1,"Restricted CPHF Ext  4( 0, 0) WCS",5319,"ARITHMETIC"
"fuse",3,10,1802,6609,"Restricted CPHF Ext  5( 0, 5) WCS fuse",1,"Restricted CPHF Ext  5( 0, 5) WCS",6609,"ARITHMETIC"
"fuse",3,10,1836,6619,"Restricted CPHF Ext  5( 0, 4) WCS fuse",1,"Restricted CPHF Ext  5( 0, 4) WCS",6619,"ARITHMETIC"
"fuse",3,10,1844,6629,"Restricted CPHF Ext  5( 0, 3) WCS fuse",1,"Restricted CPHF Ext  5( 0, 3) WCS",6629,"ARITHMETIC"
"fuse",3,10,1854,6639,"Restricted CPHF Ext  5( 0, 2) WCS fuse",1,"Restricted CPHF Ext  5( 0, 2) WCS",6639,"ARITHMETIC"
"fuse",3,10,1890,6649,"Restricted CPHF Ext  5( 0, 0) WCS fuse",1,"Restricted CPHF Ext  5( 0, 0) WCS",6649,"ARITHMETIC"
"fuse",3,10,2480,7489,"Restricted CPHF Ext  6( 4, 6) WCS fuse",1,"Restricted CPHF Ext  6( 4, 6) WCS",7489,"ARITHMETIC"
"fuse",3,10,2499,7499,"Restricted CPHF Ext  6( 4, 5) WCS fuse",1,"Restricted CPHF Ext  6( 4, 5) WCS",7499,"ARITHMETIC"
"fuse",3,10,3032,7599,"Restricted CPHF Ext  6( 3, 6) WCS fuse",1,"Restricted CPHF Ext  6( 3, 6) WCS",7599,"ARITHMETIC"
"fuse",3,10,3101,7609,"Restricted CPHF Ext  6( 3, 5) WCS fuse",1,"Restricted CPHF Ext  6( 3, 5) WCS",7609,"ARITHMETIC"
"fuse",3,10,3102,7619,"Restricted CPHF Ext  6( 3, 4) WCS fuse",1,"Restricted CPHF Ext  6( 3, 4) WCS",7619,"ARITHMETIC"
"fuse",3,10,3682,7709,"Restricted CPHF Ext  6( 2, 6) WCS fuse",1,"Restricted CPHF Ext  6( 2, 6) WCS",7709,"ARITHMETIC"
"fuse",3,10,3772,7719,"Restricted CPHF Ext  6( 2, 5) WCS fuse",1,"Restricted CPHF Ext  6( 2, 5) WCS",7719,"ARITHMETIC"
"fuse",3,10,3826,7729,"Restricted CPHF Ext  6( 2, 4) WCS fuse",1,"Restricted CPHF Ext  6( 2, 4) WCS",7729,"ARITHMETIC"
"fuse",3,10,3861,7739,"Restricted CPHF Ext  6( 2, 3) WCS fuse",1,"Restricted CPHF Ext  6( 2, 3) WCS",7739,"ARITHMETIC"
"fuse",3,10,4372,7819,"Restricted CPHF Ext  6( 1, 6) WCS fuse",1,"Restricted CPHF Ext  6( 1, 6) WCS",7819,"ARITHMETIC"
"fuse",3,10,4442,7829,"Restricted CPHF Ext  6( 1, 5) WCS fuse",1,"Restricted CPHF Ext  6( 1, 5) WCS",7829,"ARITHMETIC"
"fuse",3,10,4477,7839,"Restricted CPHF Ext  6( 1, 4) WCS fuse",1,"Restricted CPHF Ext  6( 1, 4) WCS",7839,"ARITHMETIC"
"fuse",3,10,4586,7849,"Restricted CPHF Ext  6( 1, 3) WCS fuse",1,"Restricted CPHF Ext  6( 1, 3) WCS",7849,"ARITHMETIC"
"fuse",3,10,4605,7859,"Restricted CPHF Ext  6( 1, 2) WCS fuse",1,"Restricted CPHF Ext  6( 1, 2) WCS",7859,"ARITHMETIC"
"fuse",3,10,5588,7929,"Restricted CPHF Ext  6( 0, 6) WCS fuse",1,"Restricted CPHF Ext  6( 0, 6) WCS",7929,"ARITHMETIC"
"fuse",3,10,5691,7939,"Restricted CPHF Ext  6( 0, 5) WCS fuse",1,"Restricted CPHF Ext  6( 0, 5) WCS",7939,"ARITHMETIC"
"fuse",3,10,5824,7949,"Restricted CPHF Ext  6( 0, 4) WCS fuse",1,"Restricted CPHF Ext  6( 0, 4) WCS",7949,"ARITHMETIC"
"fuse",3,10,5941,7959,"Restricted CPHF Ext  6( 0, 3) WCS fuse",1,"Restricted CPHF Ext  6( 0, 3) WCS",7959,"ARITHMETIC"
"fuse",3,10,6122,7969,"Restricted CPHF Ext  6( 0, 2) WCS fuse",1,"Restricted CPHF Ext  6( 0, 2) WCS",7969,"ARITHMETIC"
"fuse",3,10,6389,7979,"CPHF IPO 6 (WCS) fuse",1,"CPHF IPO 6 (WCS)",7979,"ARITHMETIC"
"fuse",3,10,7807,8809,"Restricted CPHF Ext  7( 4, 7) WCS fuse",1,"Restricted CPHF Ext  7( 4, 7) WCS",8809,"ARITHMETIC"
"fuse",3,10,7903,8819,"Restricted CPHF Ext  7( 4, 6) WCS fuse",1,"Restricted CPHF Ext  7( 4, 6) WCS",8819,"ARITHMETIC"
"fuse",3,10,7919,8829,"Restricted CPHF Ext  7( 4, 5) WCS fuse",1,"Restricted CPHF Ext  7( 4, 5) WCS",8829,"ARITHMETIC"
"fuse",3,10,9894,8919,"Restricted CPHF Ext  7( 3, 7) WCS fuse",1,"Restricted CPHF Ext  7( 3, 7) WCS",8919,"ARITHMETIC"
"fuse",3,10,10000,8929,"Restricted CPHF Ext  7( 3, 6) WCS fuse",1,"Restricted CPHF Ext  7( 3, 6) WCS",8929,"ARITHMETIC"
"fuse",4,10,20,27949,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",27949,"ARITHMETIC"
"fuse",4,10,24,29159,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",29159,"ARITHMETIC"
"fuse",4,10,43,42579,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",42579,"ARITHMETIC"
"fuse",4,10,47,43789,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",43789,"ARITHMETIC"
"fuse",4,10,49,43899,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",43899,"ARITHMETIC"
"fuse",4,10,51,43919,"CPHF IPO 3 (WCS) fuse",1,"CPHF IPO 3 (WCS)",43919,"ARITHMETIC"
"fuse",4,10,80,55889,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",55889,"ARITHMETIC"
"fuse",4,10,84,57099,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",57099,"ARITHMETIC"
"fuse",4,10,89,57209,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",57209,"ARITHMETIC"
