"catalogue","row","construction","n_ingredients","ingredients","code"
"DPcat",477,"productCA",2,"SCA_LCDST(38, 20) ||| SCA_LCDST(38, 20)","productCA(SCA_LCDST(38, 20)[,1:37], SCA_LCDST(38, 20)[,1:37], c1=20)"
"DPcat",478,"productCA",2,"SCA_LCDST(38, 20) ||| SCA_LCDST(39, 20)","productCA(SCA_LCDST(38, 20)[,1:37], SCA_LCDST(39, 20)[,1:38], c1=20)"
"DPcat",479,"productCA",2,"SCA_LCDST(39, 20) ||| SCA_LCDST(39, 20)","productCA(SCA_LCDST(39, 20)[,1:38], SCA_LCDST(39, 20)[,1:38], c1=20)"
"DPcat",480,"productCA",4,"SCA_LCDST(38, 20) ||| productCA(SCA_LCDST(38, 20)[, 1:37], SCA_LCDST(38, 20)[, 1:37], 20) ||| SCA_LCDST(38, 20) ||| SCA_LCDST(38, 20)","productCA(SCA_LCDST(38, 20)[,1:37], productCA(SCA_LCDST(38, 20)[,1:37], SCA_LCDST(38, 20)[,1:37], c1=20), c1=20)"
"DPcat",481,"productCA",2,"SCA_LCDST(42, 21) ||| SCA_LCDST(42, 21)","productCA(SCA_LCDST(42, 21)[,1:41], SCA_LCDST(42, 21)[,1:41], c1=21)"
"DPcat",482,"productCA",4,"SCA_LCDST(42, 21) ||| productCA(SCA_LCDST(42, 21)[, 1:41], SCA_LCDST(42, 21)[, 1:41], 21) ||| SCA_LCDST(42, 21) ||| SCA_LCDST(42, 21)","productCA(SCA_LCDST(42, 21)[,1:41], productCA(SCA_LCDST(42, 21)[,1:41], SCA_LCDST(42, 21)[,1:41], c1=21), c1=21)"
"DPcat",483,"productCA",2,"SCA_LCDST(44, 22) ||| SCA_LCDST(44, 22)","productCA(SCA_LCDST(44, 22)[,1:43], SCA_LCDST(44, 22)[,1:43], c1=22)"
"DPcat",484,"productCA",4,"SCA_LCDST(44, 22) ||| productCA(SCA_LCDST(44, 22)[, 1:43], SCA_LCDST(44, 22)[, 1:43], 22) ||| SCA_LCDST(44, 22) ||| SCA_LCDST(44, 22)","productCA(SCA_LCDST(44, 22)[,1:43], productCA(SCA_LCDST(44, 22)[,1:43], SCA_LCDST(44, 22)[,1:43], c1=22), c1=22)"
"PCAcat",1,"productPCA",2,"SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))"
"PCAcat",2,"productPCA",2,"SCA_LCDST(5, 3) ||| miscCA(2, 9, 3)","productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))"
