"key","tier","family"
"6 7 9 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 13 Fix 2 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 15 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 16 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 18 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 19 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 8 20 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"3 8 73 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"3 8 91 Raaphorst-Moura-Stevens fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"5 8 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"6 8 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 9 14 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 9 16 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 9 17 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 9 91 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"4 9 11 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 9 11 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"6 9 11 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 7 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 8 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 9 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 10 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 12 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 14 Fix 1 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 18 Fix 2 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 21 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 22 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 23 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 25 Fix 4 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 10 26 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 10 133 Raaphorst-Moura-Stevens fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"3 10 398 Cyclotomy (Colbourn) fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 6 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 7 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 8 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 9 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 11 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 13 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 10 14 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 7 Ji-Li-Yin","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 8 Add a symbol postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 9 Add a symbol postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 11 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
