"family","t","v","k","N","Source","N_pred","tier"
"Add n factors",6,6,626,8006080,"Add 1 factors",8006080,"ARITHMETIC"
"Add n factors",6,6,627,8265280,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,965,9300210,"Add 1 factors",9300210,"ARITHMETIC"
"Add n factors",6,6,2212,10359044,"Add 1 factors",10359044,"ARITHMETIC"
"Add n factors",6,6,2213,10732184,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,6,7926,13070836,"Add 1 factors",13070836,"ARITHMETIC"
"Add n factors",5,7,703,293293,"Add 1 factors",293293,"ARITHMETIC"
"Add n factors",5,7,704,338275,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,7,705,352681,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,7,709,367087,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",5,7,813,468712,"Add 1 factors",468712,"ARITHMETIC"
"Add n factors",5,7,814,515164,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,7,815,529570,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,245,2101729,"Add 1 factors",2101729,"ARITHMETIC"
"Add n factors",6,7,246,2548315,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,247,2822029,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,248,2922871,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,251,3023713,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,252,3724315,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,253,4170901,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,254,4444615,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,255,4545457,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,258,4646299,"Add 7 factors",NA,"ARITH_OPEN"
"Add n factors",6,7,389,6352482,"Add 1 factors",6352482,"ARITHMETIC"
"Add n factors",6,7,626,8335914,"Add 1 factors",8335914,"ARITHMETIC"
"Add n factors",6,7,2212,10991274,"Add 1 factors",10991274,"ARITHMETIC"
"Add n factors",5,8,813,531000,"Add 1 factors",531000,"ARITHMETIC"
"Add n factors",5,8,814,616120,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,815,644792,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,820,673464,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,821,793824,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,822,900936,"Add 8 factors",NA,"ARITH_OPEN"
