"t","k","v","N_snapshot","N_built","note"
6,1567,2,1567,1567,"SCREEN4_PASS"
6,1571,2,1571,1571,"SCREEN4_PASS"
6,1579,2,1579,1579,"SCREEN4_PASS"
6,1583,2,1583,1583,"SCREEN4_PASS"
6,1597,2,1597,1597,"SCREEN4_PASS"
6,1601,2,1601,1601,"SCREEN4_PASS"
6,1607,2,1607,1607,"SCREEN4_PASS"
6,1609,2,1609,1609,"SCREEN4_PASS"
6,1613,2,1613,1613,"SCREEN4_PASS"
6,1619,2,1619,1619,"SCREEN4_PASS"
6,1621,2,1621,1621,"SCREEN4_PASS"
6,1627,2,1627,1627,"SCREEN4_PASS"
4,6344,7,44401,44401,"SCREEN4_PASS"
4,6764,7,47341,47341,"SCREEN4_PASS"
6,1997,2,1997,1997,"SCREEN4_PASS"
6,1999,2,1999,1999,"SCREEN4_PASS"
6,2003,2,2003,2003,"SCREEN4_PASS"
5,9898,2,1394,1394,"SCREEN4_PASS"
6,2503,2,2503,2503,"SCREEN4_PASS"
4,8762,8,70088,70088,"SCREEN4_PASS"
4,8970,8,71752,71752,"SCREEN4_PASS"
4,9050,8,72392,72392,"SCREEN4_PASS"
4,9338,8,74696,74696,"SCREEN4_PASS"
4,9722,8,77768,77768,"SCREEN4_PASS"
4,9818,8,78536,78536,"SCREEN4_PASS"
4,9834,8,78664,78664,"SCREEN4_PASS"
4,10000,8,80072,80072,"SCREEN4_PASS"
5,6983,3,6983,6983,"SCREEN4_PASS"
5,7013,3,7013,7013,"SCREEN4_PASS"
5,10000,3,10007,10007,"SCREEN4_PASS"
2,17525,25,1825,1825,"SCREEN4_PASS"
5,378,2,379,379,"SCREEN4_PASS"
5,379,2,380,380,"SCREEN4_PASS"
4,462,4,1848,1848,"SCREEN4_PASS"
