"child_t","child_k","child_v","child_N","construction","params","ing1_t","ing1_k","ing1_v","ing1_N","ing2_t","ing2_k","ing2_v","ing2_N","confidence","stamp_date","stamp_note"
3,968,2,54,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1331,2,55,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1332,2,59,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1452,2,61,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1584,2,64,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1712,2,66,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,1936,2,67,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,2662,2,68,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,2816,2,70,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,3872,2,71,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,5324,2,72,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,6655,2,74,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,7744,2,75,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
3,10000,2,76,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,5,2,16,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,6,2,21,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,12,2,24,"CS_CK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,12,2,24,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,12,2,24,"CYCLOTOMY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,13,2,32,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,17,2,35,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,17,2,35,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,18,2,36,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,18,2,36,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,20,2,39,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,21,2,42,"CS_CK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,22,2,44,"CS_CK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,24,2,46,"CS_CK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,24,2,46,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,24,2,46,"CYCLOTOMY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,25,2,50,"CS_CK","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,26,2,51,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,26,2,51,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,28,2,53,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,28,2,53,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,30,2,56,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,30,2,56,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,32,2,58,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,32,2,58,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,33,2,61,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,33,2,61,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,34,2,63,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,35,2,64,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,35,2,64,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,37,2,65,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,37,2,65,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,38,2,66,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,38,2,66,"DWYER","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,67,2,67,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,67,2,67,"CYCLOTOMY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,71,2,71,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,71,2,71,"CYCLOTOMY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,72,2,78,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,79,2,79,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,83,2,83,"PALEY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,83,2,83,"CYCLOTOMY","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,89,2,87,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,90,2,92,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,97,2,94,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,101,2,98,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,107,2,102,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,109,2,105,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,111,2,106,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,113,2,107,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,114,2,109,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,120,2,110,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,144,2,112,"powerCT","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,145,2,119,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
4,146,2,122,"TJ","",NA,NA,NA,NA,NA,NA,NA,NA,"ARITHMETIC","2026-08-29","route reproduces snapshot N via Ns sweep"
