"family","entries","share"
"Power N-CT53^2T1",2,0.01
"Power N-CT53^2T10",2,0.01
"Power N-CT53^2T17",2,0.01
"Power N-CT53^2T1T1",2,0.01
"Power N-CT53^2T2",2,0.01
"Power N-CT53^2T23",2,0.01
"Power N-CT53^2T25",2,0.01
"Power N-CT53^2T2T1",2,0.01
"Power N-CT53^2T2T2",2,0.01
"Power N-CT53^2T4T2",2,0.01
"Power N-CT53^2Trin1,2,4",2,0.01
"Power N-CT53^2Trin2,2,4",2,0.01
"Power N-CT59^2T11",2,0.01
"Power N-CT59^2T5T5",2,0.01
"Power N-CT61^2T9",2,0.01
"Power N-CT67^2+3",2,0.01
"Power N-CT67^2T12",2,0.01
"Power N-CT67^2T15",2,0.01
"Power N-CT67^2T18",2,0.01
"Power N-CT67^2T20",2,0.01
"Power N-CT67^2T26",2,0.01
"Power N-CT67^2T28",2,0.01
"Power N-CT67^2T29",2,0.01
"Power N-CT67^2T31",2,0.01
"Power N-CT67^2T5T5",2,0.01
"Power N-CT67^2T6",2,0.01
"Power N-CT67^2T6T1",2,0.01
"Power N-CT71^2T1T1",2,0.01
"Power N-CT71^2T2T2",2,0.01
"Power N-CT71^2T3T3",2,0.01
"Power N-CT71^2Trin2,2,2",2,0.01
"Power N-CT73^2T1",2,0.01
"Power N-CT73^2T14",2,0.01
"Power N-CT73^2T14T14",2,0.01
"Power N-CT73^2T14T3",2,0.01
"Power N-CT73^2T14T8",2,0.01
"Power N-CT73^2T17T14",2,0.01
"Power N-CT73^2T17T2",2,0.01
"Power N-CT73^2T17T8",2,0.01
"Power N-CT73^2T18T17",2,0.01
"Power N-CT73^2T18T18",2,0.01
"Power N-CT73^2T19",2,0.01
"Power N-CT73^2T19T17",2,0.01
"Power N-CT73^2T19T18",2,0.01
"Power N-CT73^2T19T19",2,0.01
"Power N-CT73^2T1T1",2,0.01
"Power N-CT73^2T24",2,0.01
"Power N-CT73^2T27",2,0.01
"Power N-CT73^2T27T14",2,0.01
"Power N-CT73^2T28",2,0.01
"Power N-CT73^2T28T14",2,0.01
"Power N-CT73^2T28T28",2,0.01
"Power N-CT73^2T28T3",2,0.01
"Power N-CT73^2T28T8",2,0.01
"Power N-CT73^2T30",2,0.01
"Power N-CT73^2T32",2,0.01
"Power N-CT73^2T32T14",2,0.01
"Power N-CT73^2T36",2,0.01
"Power N-CT73^2T42",2,0.01
"Power N-CT73^2T42T3",2,0.01
"Power N-CT73^2T42T8",2,0.01
"Power N-CT73^2T5",2,0.01
"Power N-CT73^2T5T5",2,0.01
"Power N-CT73^2T6T3",2,0.01
"Power N-CT73^2T8T3",2,0.01
"Power N-CT73^2Trin14,14,27",2,0.01
"Power N-CT73^2Trin2,17,17",2,0.01
"Power N-CT73^2Trin2,17,19",2,0.01
"Power N-CT73^2Trin2,17,20",2,0.01
"Power N-CT73^2Trin2,17,21",2,0.01
"Power N-CT73^2Trin2,2,17",2,0.01
"Power N-CT73^2Trin2,2,19",2,0.01
"Power N-CT73^2Trin2,2,20",2,0.01
"Power N-CT73^2Trin2,8,17",2,0.01
"Power N-CT73^2Trin2,8,19",2,0.01
"Power N-CT73^2Trin2,8,20",2,0.01
"Power N-CT73^2Trin3,14,28",2,0.01
"Power N-CT73^2Trin3,3,14",2,0.01
"Power N-CT73^2Trin3,3,42",2,0.01
"Power N-CT73^2Trin3,3,8",2,0.01
"Power N-CT73^2Trin3,8,14",2,0.01
"Power N-CT73^2Trin3,8,28",2,0.01
"Power N-CT73^2Trin3,8,42",2,0.01
"Power N-CT73^2Trin8,14,27",2,0.01
"Power N-CT73^2Trin8,14,28",2,0.01
"Power N-CT73^2Trin8,17,17",2,0.01
"Power N-CT73^2Trin8,8,17",2,0.01
"Power N-CT73^2Trin8,8,19",2,0.01
"Power N-CT79^2+1",2,0.01
"Power N-CT79^2+2",2,0.01
"Power N-CT79^2T1",2,0.01
"Power N-CT79^2T10",2,0.01
"Power N-CT79^2T12T3",2,0.01
"Power N-CT79^2T12T4",2,0.01
"Power N-CT79^2T17T4",2,0.01
"Power N-CT79^2T19T1",2,0.01
"Power N-CT79^2T23T2",2,0.01
"Power N-CT79^2T23T3",2,0.01
"Power N-CT79^2T24",2,0.01
"Power N-CT79^2T24T3",2,0.01
"Power N-CT79^2T25",2,0.01
"Power N-CT79^2T25T3",2,0.01
"Power N-CT79^2T28T2",2,0.01
"Power N-CT79^2T34T4",2,0.01
"Power N-CT79^2T3T3",2,0.01
"Power N-CT79^2T5T3",2,0.01
"Power N-CT79^2Trin1,4,34",2,0.01
"Power N-CT79^2Trin2,2,2",2,0.01
"Power N-CT79^2Trin2,2,23",2,0.01
"Power N-CT79^2Trin2,2,28",2,0.01
"Power N-CT79^2Trin3,3,23",2,0.01
"Power N-CT79^2Trin3,3,3",2,0.01
"Power N-CT79^2Trin3,3,5",2,0.01
"Power N-CT83^2+1",2,0.01
"Power N-CT83^2Arc(13)T2",2,0.01
"Power N-CT83^2Arc(2)T27",2,0.01
"Power N-CT83^2Arc(3)T27",2,0.01
"Power N-CT83^2Arc(4)T27",2,0.01
"Power N-CT83^2T15",2,0.01
"Power N-CT83^2T16",2,0.01
"Power N-CT83^2T27T1",2,0.01
"Power N-CT83^2T3T3",2,0.01
"Power N-CT89^2Arc(2)T27",2,0.01
"Power N-CT89^2Arc(3)T27",2,0.01
"Power N-CT89^2T13",2,0.01
"Power N-CT89^2T13T2",2,0.01
"Power N-CT89^2T19",2,0.01
"Power N-CT89^2T20",2,0.01
"Power N-CT89^2T28",2,0.01
"Power N-CT89^2T38",2,0.01
"Power N-CT89^2T42",2,0.01
"Power N-CT89^2T43",2,0.01
"Power N-CT89^2T44",2,0.01
"Power N-CT89^2T45",2,0.01
"Power N-CT89^2T47",2,0.01
"Power N-CT89^2T48",2,0.01
"Power N-CT89^2T49",2,0.01
"Power N-CT89^2T52",2,0.01
"Power N-CT89^2T53",2,0.01
"Power N-CT89^2T5T5",2,0.01
"Power N-CT89^2T8",2,0.01
"Power N-CT89^2Trin1,5,5",2,0.01
"Power N-CT89^2Trin2,2,13",2,0.01
"Power N-CT97^2+2",2,0.01
"Power N-CT97^2Arc(12)T2",2,0.01
"Power N-CT97^2Arc(13)T15",2,0.01
"Power N-CT97^2Arc(13)T4",2,0.01
"Power N-CT97^2Arc(13)T6",2,0.01
