"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",63,2,4,8960,84,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,      4)[, 1:5], miscCA(2, 7, 4), c1 = 4), c1 = 4), c1 = 4), c1 = 4),      c1 = 4)"
"DPcat",64,2,4,12544,86,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7,      4), miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4),      c1 = 4)"
"DPcat",65,2,4,14336,88,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7,      4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4),      c1 = 4)"
"DPcat",66,2,4,15680,89,"productCA(SCA_LCDST(6, 4)[, 1:5], productCA(SCA_Bose(4)[, 1:4],      productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4],          productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2),          c1 = 4), c1 = 4), c1 = 4), c1 = 4)"
"DPcat",67,2,4,16384,90,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8,      4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4),      c1 = 4)"
"DPcat",68,2,4,19712,91,"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7,      4), miscCA(2, 11, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4),      c1 = 4)"
"DPcat",69,2,4,21952,92,"productCA(miscCA(2, 7, 4), productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[,      1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7,      4), miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 4), c1 = 4),      c1 = 2)"
"DPcat",70,2,5,25,45,"productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6, 5)[, 1:5], c1 = 5)"
"DPcat",71,2,5,30,49,"productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7, 5)[, 1:6], c1 = 5)"
"DPcat",72,2,5,35,50,"productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7, 5), c1 = 5)"
"DPcat",73,2,5,36,53,"productCA(CS_CMMSSY(7, 5)[, 1:6], CS_CMMSSY(7, 5)[, 1:6], c1 = 5)"
"DPcat",74,2,5,42,54,"productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5), c1 = 5)"
"DPcat",75,2,5,49,55,"productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3)"
"DPcat",76,2,5,54,59,"productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 9, 5), c1 = 5)"
"DPcat",77,2,5,63,60,"productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), c1 = 3)"
"DPcat",78,2,5,125,65,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], CS_CMMSSY(6, 5)[, 1:5], c1 = 5), c1 = 5)"
"DPcat",79,2,5,150,69,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5)"
"DPcat",80,2,5,175,70,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], miscCA(2, 7, 5), c1 = 5), c1 = 5)"
"DPcat",81,2,5,180,73,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5)"
"DPcat",82,2,5,210,74,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5)"
"DPcat",83,2,5,245,75,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5),      miscCA(2, 7, 5), c1 = 3), c1 = 5)"
