"call","N","k","v_min","v_max","nNA","status"
"productCA(miscCA(2, 8, 4), miscCA(2, 8, 4), 2)",42,64,4,4,0,"ok"
"productCA(miscCA(2, 7, 4), miscCA(2, 11, 4), 2)",43,77,4,4,0,"ok"
"productCA(miscCA(2, 8, 4), miscCA(2, 11, 4), 2)",45,88,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], c1 = 4), 4)",46,100,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5], miscCA(2, 7, 4), c1 = 4), 4)",48,140,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2), 4)",50,196,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2, 8, 4), c1 = 2), 4)",52,224,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2, 8, 4), c1 = 2), 4)",54,256,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2, 11, 4), c1 = 2), 4)",55,308,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2, 11, 4), c1 = 2), 4)",57,352,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5],     SCA_LCDST(6, 4)[, 1:5], c1 = 4), c1 = 4), 4)",58,400,4,4,0,"ok"
"productCA(miscCA(2, 7, 4), productCA(miscCA(2, 7, 4), miscCA(2, 7, 4), c1 = 2), 2)",56,343,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6, 4)[, 1:5],     miscCA(2, 7, 4), c1 = 4), c1 = 4), 4)",60,560,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,     7, 4), c1 = 2), c1 = 4), 4)",62,784,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,     8, 4), c1 = 2), c1 = 4), 4)",64,896,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2,     8, 4), c1 = 2), c1 = 4), 4)",66,1024,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,     11, 4), c1 = 2), c1 = 4), 4)",67,1232,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 8, 4), miscCA(2,     11, 4), c1 = 2), c1 = 4), 4)",69,1408,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,     4)[, 1:5], SCA_LCDST(6, 4)[, 1:5], c1 = 4), c1 = 4), c1 = 4), 4)",70,1600,4,4,0,"ok"
"productCA(miscCA(2, 7, 4), productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2, 7, 4), miscCA(2,     7, 4), c1 = 2), c1 = 4), 2)",67,1372,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_LCDST(6,     4)[, 1:5], miscCA(2, 7, 4), c1 = 4), c1 = 4), c1 = 4), 4)",72,2240,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,     7, 4), miscCA(2, 7, 4), c1 = 2), c1 = 4), c1 = 4), 4)",74,3136,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,     7, 4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4), 4)",76,3584,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,     8, 4), miscCA(2, 8, 4), c1 = 2), c1 = 4), c1 = 4), 4)",78,4096,4,4,0,"ok"
"productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(SCA_Bose(4)[, 1:4], productCA(miscCA(2,     7, 4), miscCA(2, 11, 4), c1 = 2), c1 = 4), c1 = 4), 4)",79,4928,4,4,0,"ok"
"CS_CMMSSY(6, 5)",25,6,5,5,0,"ok"
"CS_CMMSSY(7, 5)",29,7,5,5,0,"ok"
"miscCA(2, 7, 5)",30,7,5,5,0,"ok"
"miscCA(2, 9, 5)",35,9,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6, 5)[, 1:5], 5)",45,25,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7, 5)[, 1:6], 5)",49,30,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7, 5), 5)",50,35,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], CS_CMMSSY(7, 5)[, 1:6], 5)",53,36,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5), 5)",54,42,5,5,0,"ok"
"productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), 3)",55,49,5,5,0,"ok"
"productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), 3)",60,63,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6, 5)[, 1:5], c1 = 5), 5)",65,125,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), 5)",69,150,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7, 5), c1 = 5), 5)",70,175,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), 5)",73,180,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5), c1 = 5), 5)",74,210,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3), 5)",75,245,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5), c1 = 5), 5)",78,252,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3), 5)",79,294,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), c1 = 3), 5)",80,315,5,5,0,"ok"
"productCA(miscCA(2, 7, 5), productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3), 3)",80,343,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), c1 = 3), 5)",84,378,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], CS_CMMSSY(6, 5)[, 1:5], c1 = 5), c1 = 5), 5)",85,625,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5), 5)",89,750,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], miscCA(2, 7, 5), c1 = 5), c1 = 5), 5)",90,875,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,     1:6], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5), 5)",93,900,5,5,0,"ok"
