"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",5,14,1189,27696120,"Martirosyan-TVT variant","variant",27696120,"ARITHMETIC"
"Martirosyan-TVT",5,14,1235,27720872,"Martirosyan-TVT variant","variant",27720872,"ARITHMETIC"
"Martirosyan-TVT",5,14,1255,27770376,"Martirosyan-TVT variant","variant",27770376,"ARITHMETIC"
"Martirosyan-TVT",5,14,1268,27943640,"Martirosyan-TVT","plain",27943640,"ARITHMETIC"
"Martirosyan-TVT",5,14,1272,27946760,"Martirosyan-TVT","plain",27946760,"ARITHMETIC"
"Martirosyan-TVT",5,14,1273,27993560,"Martirosyan-TVT variant","variant",27993560,"ARITHMETIC"
"Martirosyan-TVT",5,14,1282,28043064,"Martirosyan-TVT","plain",28043064,"ARITHMETIC"
"Martirosyan-TVT",5,14,1293,28046904,"Martirosyan-TVT variant","variant",28046904,"ARITHMETIC"
"Martirosyan-TVT",5,14,1300,28145912,"Martirosyan-TVT","plain",28145912,"ARITHMETIC"
"Martirosyan-TVT",5,14,1312,28146152,"Martirosyan-TVT","plain",28146152,"ARITHMETIC"
"Martirosyan-TVT",5,14,1341,28998152,"Martirosyan-TVT variant","variant",28998152,"ARITHMETIC"
"Martirosyan-TVT",5,14,1357,29022904,"Martirosyan-TVT variant","variant",29022904,"ARITHMETIC"
"Martirosyan-TVT",5,14,1429,29047656,"Martirosyan-TVT variant","variant",29047656,"ARITHMETIC"
"Martirosyan-TVT",5,14,1433,29097160,"Martirosyan-TVT variant","variant",29097160,"ARITHMETIC"
"Martirosyan-TVT",5,14,1457,29121912,"Martirosyan-TVT variant","variant",29121912,"ARITHMETIC"
"Martirosyan-TVT",5,14,1477,29171416,"Martirosyan-TVT variant","variant",29171416,"ARITHMETIC"
"Martirosyan-TVT",5,14,1489,29196168,"Martirosyan-TVT variant","variant",29196168,"ARITHMETIC"
"Martirosyan-TVT",5,14,1490,29220920,"Martirosyan-TVT","plain",29220920,"ARITHMETIC"
"Martirosyan-TVT",5,14,1528,29224040,"Martirosyan-TVT","plain",29224040,"ARITHMETIC"
"Martirosyan-TVT",5,14,1532,29227160,"Martirosyan-TVT","plain",29227160,"ARITHMETIC"
"Martirosyan-TVT",5,14,1534,31479592,"Martirosyan-TVT","plain",31479592,"ARITHMETIC"
"Martirosyan-TVT",6,14,312,484579536,"Martirosyan-TVT","plain",484579536,"ARITHMETIC"
"Martirosyan-TVT",6,14,313,484684416,"Martirosyan-TVT variant","variant",484684416,"ARITHMETIC"
"Martirosyan-TVT",6,14,316,485309160,"Martirosyan-TVT","plain",485309160,"ARITHMETIC"
"Martirosyan-TVT",6,14,317,485429430,"Martirosyan-TVT variant","variant",485429430,"ARITHMETIC"
"Martirosyan-TVT",6,14,318,485549700,"Martirosyan-TVT","plain",485549700,"ARITHMETIC"
"Martirosyan-TVT",6,14,326,485549940,"Martirosyan-TVT","plain",485549940,"ARITHMETIC"
"Martirosyan-TVT",6,14,328,485550030,"Martirosyan-TVT","plain",485550030,"ARITHMETIC"
"Martirosyan-TVT",6,14,330,502327140,"Martirosyan-TVT","plain",502327140,"ARITHMETIC"
"Martirosyan-TVT",6,14,339,503178900,"Martirosyan-TVT variant","variant",503178900,"ARITHMETIC"
"Martirosyan-TVT",6,14,341,505275996,"Martirosyan-TVT variant","variant",505275996,"ARITHMETIC"
"Martirosyan-TVT",6,14,370,505800270,"Martirosyan-TVT","plain",505800270,"ARITHMETIC"
"Martirosyan-TVT",6,14,372,506598990,"Martirosyan-TVT","plain",506598990,"ARITHMETIC"
"Martirosyan-TVT",6,14,373,518810336,"Martirosyan-TVT variant","variant",518810336,"ARITHMETIC"
"Martirosyan-TVT",6,14,374,531021682,"Martirosyan-TVT","plain",531021682,"ARITHMETIC"
"Martirosyan-TVT",6,14,536,644348268,"Martirosyan-TVT","plain",644348268,"ARITHMETIC"
"Martirosyan-TVT",6,14,538,702705840,"Martirosyan-TVT","plain",702705840,"ARITHMETIC"
"Martirosyan-TVT",6,14,544,719683217,"Martirosyan-TVT","plain",719683217,"ARITHMETIC"
"Martirosyan-TVT",6,14,545,720881855,"Martirosyan-TVT variant","variant",720881855,"ARITHMETIC"
"Martirosyan-TVT",6,14,546,722727077,"Martirosyan-TVT","plain",722727077,"ARITHMETIC"
"Martirosyan-TVT",6,14,547,735957269,"Martirosyan-TVT variant","variant",735957269,"ARITHMETIC"
"Martirosyan-TVT",6,14,550,751798917,"Martirosyan-TVT","plain",751798917,"ARITHMETIC"
"Martirosyan-TVT",6,14,551,751955765,"Martirosyan-TVT variant","variant",751955765,"ARITHMETIC"
"Martirosyan-TVT",6,14,568,752112869,"Martirosyan-TVT","plain",752112869,"ARITHMETIC"
"Martirosyan-TVT",6,14,578,752964629,"Martirosyan-TVT","plain",752964629,"ARITHMETIC"
"Martirosyan-TVT",6,15,312,518505358,"Martirosyan-TVT","plain",518505358,"ARITHMETIC"
"Martirosyan-TVT",6,15,313,518622958,"Martirosyan-TVT variant","variant",518622958,"ARITHMETIC"
"Martirosyan-TVT",6,15,316,518736718,"Martirosyan-TVT","plain",518736718,"ARITHMETIC"
"Martirosyan-TVT",6,15,317,518871808,"Martirosyan-TVT variant","variant",518871808,"ARITHMETIC"
