"fam","t","v","k","N","Source","q","e","plus","nred","M","M_status","N_pred","dN","k_pred","dk","arith_tier"
"CT",6,3,1225,81113,"Power CT37^2T2T2",37,2,0,2,13,"FORMULA",81113,0,1225,0,"ARITHMETIC"
"CT",6,3,1226,81468,"Power CT37^2Arc(2)T2",37,2,0,3,13,"FORMULA",81468,0,1226,0,"ARITHMETIC"
"CT",6,3,1260,81536,"Power CT37^2T2T1",37,2,0,2,13,"FORMULA",81536,0,1260,0,"ARITHMETIC"
"CT",6,3,1295,81604,"Power CT37^2T2",37,2,0,1,13,"FORMULA",81604,0,1295,0,"ARITHMETIC"
"CT",6,3,1296,81959,"Power CT37^2T1T1",37,2,0,2,13,"FORMULA",81959,0,1296,0,"ARITHMETIC"
"CT",6,3,1332,82027,"Power CT37^2T1",37,2,0,1,13,"FORMULA",82027,0,1332,0,"ARITHMETIC"
"CT",6,3,1369,82095,"Power CT37^2",37,2,0,0,13,"FORMULA",82095,0,1369,0,"ARITHMETIC"
"CT",6,3,1370,83889,"Power CT37^2+1",37,2,1,0,13,"FORMULA",83889,0,1370,0,"ARITHMETIC"
"CT",6,3,1371,85566,"Power CT37^2+2",37,2,2,0,13,"FORMULA",85566,0,1371,0,"ARITHMETIC"
"CT",6,3,1372,86606,"Power CT37^2+3",37,2,3,0,13,"FORMULA",86606,0,1372,0,"ARITHMETIC"
"CT",6,3,1400,86780,"Power CT41^2T6T1",41,2,0,2,13,"FORMULA",86780,0,1400,0,"ARITHMETIC"
"CT",6,3,1435,86872,"Power CT41^2T6",41,2,0,1,13,"FORMULA",86872,0,1435,0,"ARITHMETIC"
"CT",6,3,1444,87179,"Power CT41^2Arc(2)T4",41,2,0,3,13,"FORMULA",87179,0,1444,0,"ARITHMETIC"
"CT",6,3,1447,87225,"Power CT41^2Arc(3)T3",41,2,0,4,13,"FORMULA",87225,0,1447,0,"ARITHMETIC"
"CT",6,3,1450,87250,"Power CT41^2Arc(6)",41,2,0,6,13,"FORMULA",87250,0,1450,0,"ARITHMETIC"
"CT",6,3,1480,87271,"Power CT41^2T4T1",41,2,0,2,13,"FORMULA",87271,0,1480,0,"ARITHMETIC"
"CT",6,3,1483,87317,"Power CT41^2Arc(2)T3",41,2,0,3,13,"FORMULA",87317,0,1483,0,"ARITHMETIC"
"CT",6,3,1486,87342,"Power CT41^2Arc(5)",41,2,0,5,13,"FORMULA",87342,0,1486,0,"ARITHMETIC"
"CT",6,3,1517,87363,"Power CT41^2T4",41,2,0,1,13,"FORMULA",87363,0,1517,0,"ARITHMETIC"
"CT",6,3,1520,87409,"Power CT41^2T3T1",41,2,0,2,13,"FORMULA",87409,0,1520,0,"ARITHMETIC"
"CT",6,3,1523,87434,"Power CT41^2Arc(4)",41,2,0,4,13,"FORMULA",87434,0,1523,0,"ARITHMETIC"
"CT",6,3,1558,87501,"Power CT41^2T3",41,2,0,1,13,"FORMULA",87501,0,1558,0,"ARITHMETIC"
"CT",6,3,1561,87526,"Power CT41^2Arc(3)",41,2,0,3,13,"FORMULA",87526,0,1561,0,"ARITHMETIC"
"CT",6,3,1600,87618,"Power CT41^2T1T1",41,2,0,2,13,"FORMULA",87618,0,1600,0,"ARITHMETIC"
"CT",6,3,1640,87710,"Power CT41^2T1",41,2,0,1,13,"FORMULA",87710,0,1640,0,"ARITHMETIC"
"CT",6,3,1681,87802,"Power CT41^2",41,2,0,0,13,"FORMULA",87802,0,1681,0,"ARITHMETIC"
"CT",6,3,1682,89297,"Power CT41^2+1",41,2,1,0,13,"FORMULA",89297,0,1682,0,"ARITHMETIC"
"CT",6,3,1683,91844,"Power CT43^2Arc(4)",43,2,0,4,13,"FORMULA",91844,0,1683,0,"ARITHMETIC"
"CT",6,3,1723,92127,"Power CT43^2Arc(3)",43,2,0,3,13,"FORMULA",92127,0,1723,0,"ARITHMETIC"
"CT",6,3,1764,92410,"Power CT43^2T1T1",43,2,0,2,13,"FORMULA",92410,0,1764,0,"ARITHMETIC"
"CT",6,3,1806,92693,"Power CT43^2T1",43,2,0,1,13,"FORMULA",92693,0,1806,0,"ARITHMETIC"
"CT",6,3,1849,92976,"Power CT43^2",43,2,0,0,13,"FORMULA",92976,0,1849,0,"ARITHMETIC"
"CT",6,3,1850,94419,"Power CT43^2+1",43,2,1,0,13,"FORMULA",94419,0,1850,0,"ARITHMETIC"
"CT",6,3,1851,95511,"Power CT43^2+2",43,2,2,0,13,"FORMULA",95511,0,1851,0,"ARITHMETIC"
"CT",6,3,1852,97253,"Power CT43^2+3",43,2,3,0,13,"FORMULA",97253,0,1852,0,"ARITHMETIC"
"CT",6,3,1862,97353,"Power CT49^2T11",49,2,0,1,13,"FORMULA",97353,0,1862,0,"ARITHMETIC"
"CT",6,3,1890,97442,"Power CT47^2T5T2",47,2,0,2,13,"FORMULA",97442,0,1890,0,"ARITHMETIC"
"CT",6,3,1911,97482,"Power CT49^2T10",49,2,0,1,13,"FORMULA",97482,0,1911,0,"ARITHMETIC"
"CT",6,3,1927,97546,"Power CT47^2T6",47,2,0,1,13,"FORMULA",97546,0,1927,0,"ARITHMETIC"
"CT",6,3,1960,97562,"Power CT49^2T9",49,2,0,1,13,"FORMULA",97562,0,1960,0,"ARITHMETIC"
"CT",6,3,2009,97654,"Power CT49^2T8",49,2,0,1,13,"FORMULA",97654,0,2009,0,"ARITHMETIC"
"CT",6,3,2058,97769,"Power CT49^2T7",49,2,0,1,13,"FORMULA",97769,0,2058,0,"ARITHMETIC"
"CT",6,3,2107,98052,"Power CT49^2T6",49,2,0,1,13,"FORMULA",98052,0,2107,0,"ARITHMETIC"
"CT",6,3,2115,98139,"Power CT47^2T2",47,2,0,1,13,"FORMULA",98139,0,2115,0,"ARITHMETIC"
"CT",6,3,2156,98163,"Power CT49^2T5",49,2,0,1,13,"FORMULA",98163,0,2156,0,"ARITHMETIC"
"CT",6,3,2205,98247,"Power CT49^2T4",49,2,0,1,13,"FORMULA",98247,0,2205,0,"ARITHMETIC"
"CT",6,3,2209,98358,"Power CT47^2",47,2,0,0,13,"FORMULA",98358,0,2209,0,"ARITHMETIC"
"CT",6,3,2254,98381,"Power CT49^2T3",49,2,0,1,13,"FORMULA",98381,0,2254,0,"ARITHMETIC"
"CT",6,3,2303,98466,"Power CT49^2T2",49,2,0,1,13,"FORMULA",98466,0,2303,0,"ARITHMETIC"
"CT",6,3,2402,98475,"Power CT49^2+1",49,2,1,0,13,"FORMULA",98475,0,2402,0,"ARITHMETIC"
