"t","k","v","N_snapshot","N_built","verified","size_ok","note"
2,21,18,360,360,TRUE,TRUE,"EXECUTED"
4,30,2,56,56,TRUE,TRUE,"EXECUTED"
2,20,19,361,361,TRUE,TRUE,"EXECUTED"
2,32,13,301,301,TRUE,TRUE,"EXECUTED"
2,449,3,28,28,TRUE,TRUE,"EXECUTED"
2,81,8,126,126,TRUE,TRUE,"EXECUTED"
2,26,15,365,365,TRUE,TRUE,"EXECUTED"
2,33,13,309,309,TRUE,TRUE,"EXECUTED"
3,88,2,32,32,TRUE,TRUE,"EXECUTED"
2,25,16,376,376,TRUE,TRUE,"EXECUTED"
3,4,14,2744,2744,TRUE,TRUE,"EXECUTED"
3,10,8,512,512,TRUE,TRUE,"EXECUTED"
4,32,2,58,58,TRUE,TRUE,"EXECUTED"
2,33,14,342,342,TRUE,TRUE,"EXECUTED"
2,27,16,406,406,TRUE,TRUE,"EXECUTED"
2,34,14,351,351,TRUE,TRUE,"EXECUTED"
4,33,2,61,61,TRUE,TRUE,"EXECUTED"
2,28,16,421,421,TRUE,TRUE,"EXECUTED"
6,15,2,128,128,TRUE,TRUE,"EXECUTED"
2,35,14,360,360,TRUE,TRUE,"EXECUTED"
2,29,16,436,436,TRUE,TRUE,"EXECUTED"
2,49,12,276,276,TRUE,TRUE,"EXECUTED"
4,34,2,63,63,TRUE,TRUE,"EXECUTED"
2,610,3,29,29,TRUE,TRUE,"EXECUTED"
5,20,2,99,99,TRUE,TRUE,"EXECUTED"
4,35,2,64,64,TRUE,TRUE,"EXECUTED"
5,6,5,3125,3125,TRUE,TRUE,"EXECUTED"
3,6,12,1728,1728,TRUE,TRUE,"EXECUTED"
2,99,9,153,153,TRUE,TRUE,"EXECUTED"
3,24,5,245,245,TRUE,TRUE,"EXECUTED"
3,10,9,729,729,TRUE,TRUE,"EXECUTED"
2,100,9,160,160,TRUE,TRUE,"EXECUTED"
2,31,17,497,497,TRUE,TRUE,"EXECUTED"
4,37,2,65,65,TRUE,TRUE,"EXECUTED"
5,21,2,109,109,TRUE,TRUE,"EXECUTED"
2,39,15,439,439,TRUE,TRUE,"EXECUTED"
2,32,17,513,513,TRUE,TRUE,"EXECUTED"
3,121,2,33,33,TRUE,TRUE,"EXECUTED"
2,25,22,528,528,TRUE,TRUE,"EXECUTED"
2,24,23,529,529,TRUE,TRUE,"EXECUTED"
4,38,2,66,66,TRUE,TRUE,"EXECUTED"
2,40,15,449,449,TRUE,TRUE,"EXECUTED"
3,38,4,152,152,TRUE,TRUE,"EXECUTED"
2,1716,2,14,14,TRUE,TRUE,"EXECUTED"
4,7,6,1844,1844,TRUE,TRUE,"EXECUTED"
3,123,2,35,35,TRUE,TRUE,"EXECUTED"
2,32,18,545,545,TRUE,TRUE,"EXECUTED"
2,39,16,478,478,TRUE,TRUE,"EXECUTED"
6,16,2,179,179,TRUE,TRUE,"EXECUTED"
5,22,2,111,111,TRUE,TRUE,"EXECUTED"
3,127,2,36,36,TRUE,TRUE,"EXECUTED"
2,878,3,30,30,TRUE,TRUE,"EXECUTED"
2,34,18,579,579,TRUE,TRUE,"EXECUTED"
2,39,17,517,517,TRUE,TRUE,"EXECUTED"
2,26,24,622,622,TRUE,TRUE,"EXECUTED"
6,7,4,4096,4096,TRUE,TRUE,"EXECUTED"
2,40,17,529,529,TRUE,TRUE,"EXECUTED"
3,16,7,637,637,TRUE,TRUE,"EXECUTED"
5,23,2,114,114,TRUE,TRUE,"EXECUTED"
2,27,24,624,624,TRUE,TRUE,"EXECUTED"
2,26,25,625,625,TRUE,TRUE,"EXECUTED"
2,41,17,541,541,TRUE,TRUE,"EXECUTED"
2,964,3,31,31,TRUE,TRUE,"EXECUTED"
3,140,2,37,37,TRUE,TRUE,"EXECUTED"
3,4,18,5832,5832,TRUE,TRUE,"EXECUTED"
3,11,9,1175,1175,TRUE,TRUE,"EXECUTED"
3,142,2,39,39,TRUE,TRUE,"EXECUTED"
3,10,10,1215,1215,TRUE,TRUE,"EXECUTED"
5,24,2,117,117,TRUE,TRUE,"EXECUTED"
3,146,2,40,40,TRUE,TRUE,"EXECUTED"
4,8,6,1975,1975,TRUE,TRUE,"EXECUTED"
6,17,2,235,235,TRUE,TRUE,"EXECUTED"
3,12,9,1195,1195,TRUE,TRUE,"EXECUTED"
5,25,2,118,118,TRUE,TRUE,"EXECUTED"
3,11,10,1292,1292,TRUE,TRUE,"EXECUTED"
3,6,15,3375,3375,TRUE,TRUE,"EXECUTED"
3,163,2,41,41,TRUE,TRUE,"EXECUTED"
2,1308,3,32,32,TRUE,TRUE,"EXECUTED"
2,3003,2,15,15,TRUE,TRUE,"EXECUTED"
5,26,2,130,130,TRUE,TRUE,"EXECUTED"
2,143,11,231,231,TRUE,TRUE,"EXECUTED"
3,12,10,1299,1299,TRUE,TRUE,"EXECUTED"
2,144,11,240,240,TRUE,TRUE,"EXECUTED"
6,18,2,260,260,TRUE,TRUE,"EXECUTED"
3,180,2,42,42,TRUE,TRUE,"EXECUTED"
3,54,4,212,212,TRUE,TRUE,"EXECUTED"
5,6,6,7776,7776,TRUE,TRUE,"EXECUTED"
3,12,11,1331,1331,TRUE,TRUE,"EXECUTED"
3,18,8,960,960,TRUE,TRUE,"EXECUTED"
4,8,7,2401,2401,TRUE,TRUE,"EXECUTED"
2,44,22,925,925,TRUE,TRUE,"EXECUTED"
4,9,6,2768,2768,TRUE,TRUE,"EXECUTED"
3,4,22,10648,10648,TRUE,TRUE,"EXECUTED"
2,54,20,793,793,TRUE,TRUE,"EXECUTED"
2,55,20,806,806,TRUE,TRUE,"EXECUTED"
6,19,2,285,285,TRUE,TRUE,"EXECUTED"
4,5,10,10000,10000,TRUE,TRUE,"EXECUTED"
3,13,10,1858,1858,TRUE,TRUE,"EXECUTED"
2,54,21,847,847,TRUE,TRUE,"EXECUTED"
2,55,21,861,861,TRUE,TRUE,"EXECUTED"
2,1964,3,33,33,TRUE,TRUE,"EXECUTED"
3,11,12,2046,2046,TRUE,TRUE,"EXECUTED"
2,56,21,875,875,TRUE,TRUE,"EXECUTED"
2,57,21,889,889,TRUE,TRUE,"EXECUTED"
2,2116,3,34,34,TRUE,TRUE,"EXECUTED"
3,14,10,1885,1885,TRUE,TRUE,"EXECUTED"
2,57,22,946,946,TRUE,TRUE,"EXECUTED"
6,20,2,300,300,TRUE,TRUE,"EXECUTED"
2,58,22,961,961,TRUE,TRUE,"EXECUTED"
3,242,2,43,43,TRUE,TRUE,"EXECUTED"
2,497,7,133,133,TRUE,TRUE,"EXECUTED"
4,67,2,67,67,TRUE,TRUE,"EXECUTED"
3,243,2,44,44,TRUE,TRUE,"EXECUTED"
