"t","v","k","N","Source","status","engine_class"
5,2,521,521,"Cyclic, derived (Colbourn-Keri)","MATCH","RESOLVED"
5,2,523,523,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,541,541,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,547,547,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,557,557,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,563,563,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,569,570,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,571,571,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,577,577,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,587,587,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,593,593,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,599,599,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,601,601,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,607,607,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,613,613,"Cyclotomy (Colbourn)","MATCH","RESOLVED"
5,2,1230,615,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1282,641,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1318,659,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1360,680,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1366,683,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1372,686,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1380,690,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1422,711,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1426,713,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1428,714,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1438,719,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1446,723,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1458,729,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1482,741,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1486,743,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1492,746,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1498,749,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1510,755,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1522,761,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1548,774,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1558,779,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1566,783,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1570,785,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1578,789,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1582,791,"Derive from strength 6","GAP","UNRESOLVED"
5,2,1690,792,"Power CZ3-13.12-10.1","GAP","UNRESOLVED"
5,2,1859,814,"Power CZ3-13.12-11.1","GAP","UNRESOLVED"
5,2,2198,819,"Power CT13^3+1","GAP","UNRESOLVED"
5,2,2380,938,"Power CT68^2,cT33c","GAP","UNRESOLVED"
5,2,4624,940,"Power CT68^2,c","GAP","UNRESOLVED"
5,2,4707,986,"Power CT73^2Arc(7)T2","GAP","UNRESOLVED"
5,2,4896,988,"Power CT72^2,cT4c","GAP","UNRESOLVED"
5,2,5184,996,"Power CT72^2,c","GAP","UNRESOLVED"
5,2,5440,1078,"Power CT80^2,cT12c","GAP","UNRESOLVED"
5,2,5760,1086,"Power CT80^2,cT8c","GAP","UNRESOLVED"
5,2,5867,1097,"Power CT81^2Arc(7)T2","GAP","UNRESOLVED"
5,2,6400,1101,"Power CT80^2,c","GAP","UNRESOLVED"
5,2,6720,1155,"Power CT84^2,cT4c","GAP","UNRESOLVED"
5,2,7056,1164,"Power CT84^2,c","GAP","UNRESOLVED"
5,2,7200,1215,"Power CT90^2,cT10c","GAP","UNRESOLVED"
5,2,7560,1224,"Power CT90^2,cT6c","GAP","UNRESOLVED"
5,2,8100,1234,"Power CT90^2,c","GAP","UNRESOLVED"
5,2,8232,1320,"Power CT98^2,cT14c","GAP","UNRESOLVED"
5,2,8820,1330,"Power CT98^2,cT8c","GAP","UNRESOLVED"
5,2,9604,1346,"Power CT98^2,c","GAP","UNRESOLVED"
5,2,9898,1394,"Power CT101^2,cT3c","MATCH","RESOLVED"
5,2,10000,1402,"Power CT100^2,c","NOIMPL","UNRESOLVED"
6,2,7,64,"orthogonal array","MATCH","RESOLVED"
6,2,8,85,"Johnson-Entringer","MATCH","RESOLVED"
6,2,9,108,"Torres-Jimenez","MATCH","RESOLVED"
6,2,10,116,"simulated annealing (CKRS)","MATCH","RESOLVED"
6,2,11,118,"Torres-Jimenez","MATCH","RESOLVED"
6,2,15,128,"tower (TJ-IM-K-K)","MATCH","RESOLVED"
6,2,16,179,"Torres-Jimenez","MATCH","RESOLVED"
6,2,17,235,"Torres-Jimenez","MATCH","RESOLVED"
6,2,18,260,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,19,285,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,20,300,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,21,318,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,22,330,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,23,350,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,24,357,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,25,375,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,26,383,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,27,404,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,28,415,"SBSTT (TJ-AG)","MATCH","RESOLVED"
6,2,29,426,"SBSTT (TJ-AG)","BETTER","BETTER"
6,2,30,440,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,31,452,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,32,461,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,33,470,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,34,479,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,35,487,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
