"family","t","v","k","N","Source","route","N_pred","tier"
"Colbourn-Martirosyan-TVT-Walker",4,10,3014,193345,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3016,193415,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3258,204212,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3290,207118,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3620,208218,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3708,209555,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3948,209665,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,3982,210632,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,4344,210765,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,4626,218897,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,4954,219279,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,4994,219369,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,5112,220269,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,5190,220349,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,6168,228635,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,6216,240575,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,6264,241785,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,6471,242057,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,6480,242167,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,7119,242244,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,8136,242787,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,10,9153,243389,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",3,11,1243,6171,"Colbourn-Martirosyan-TVT-Walker","3.4",6171,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",3,11,1463,6181,"Colbourn-Martirosyan-TVT-Walker","3.4",6181,"ARITHMETIC"
"Colbourn-Martirosyan-TVT-Walker",4,11,121,69091,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,2629,195631,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,2640,206261,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,2662,207471,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,2926,207791,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,3157,208791,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,3399,210001,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,3619,210111,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,4147,211211,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,4213,211321,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,4334,211431,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,4378,211481,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,4708,219511,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,5654,220611,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,5698,232551,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,6050,233761,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,6127,233961,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,6204,234061,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,6666,242561,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,6743,242671,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,7909,243771,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,8371,243881,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,8591,243991,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,11,10000,244051,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,182,139159,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3220,360077,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3276,360867,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3290,365775,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3388,366087,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3486,374368,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3528,374524,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3612,376693,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3668,381889,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3710,382045,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
